Station Name,Time/Day,Height,Tendency,Flood Class,Scraped,State
Rainbow Ck at Heyfield,2.00pm Thu,0.41^,steady,,2022-10-13 16:07:30.866648+11:00,VIC
Richmond R at Wiangaree,3.00pm Thu,0.24,steady,below minor,2022-10-13 16:07:30.866648+11:00,NSW
Rocky Mouth Ck U/S Evans R,3.15pm Thu,1.26,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Richmond R at Byrnes Pt,3.15pm Thu,0.88,falling,,2022-10-13 16:07:30.866648+11:00,NSW
Richmond R at Bungawalbin,3.15pm Thu,1.35,steady,below minor,2022-10-13 16:07:30.866648+11:00,NSW
Bungawalbin Ck at Neileys Lagoon Rd,3.15pm Thu,1.53,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Myrtle Ck at Rappville,3.00pm Thu,0.35,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Richmond R at Coraki,3.15pm Thu,1.39,steady,below minor,2022-10-13 16:07:30.866648+11:00,NSW
Shannon Brook at Yorklea,3.00pm Thu,1.46,rising,,2022-10-13 16:07:30.866648+11:00,NSW
Richmond R at Casino,3.00pm Thu,1.05,steady,below minor,2022-10-13 16:07:30.866648+11:00,NSW
Eden Ck at Doubtful,3.00pm Thu,1.08,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Richmond R at Kyogle,3.00pm Thu,0.57,steady,below minor,2022-10-13 16:07:30.866648+11:00,NSW
Wilsons R at Tuckurimba,3.26pm Thu,1.27,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Evans R at Evans Head,3.15pm Thu,0.65,falling,,2022-10-13 16:07:30.866648+11:00,NSW
Wilsons R at East Gundurimba,3.15pm Thu,1.38,falling,,2022-10-13 16:07:30.866648+11:00,NSW
Wilsons R at Lismore (mAHD),3.39pm Thu,0.56^,steady,below minor,2022-10-13 16:07:30.866648+11:00,NSW
Lismore (Dawson Street),12.07am Thu,1.90,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Browns Ck Pump Station,3.35pm Thu,5.02,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Wilsons R at Woodlawn (mAHD),3.43pm Thu,0.52^,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Wilsons R at Eltham,1.58pm Thu,1.29,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Wilsons R at Nashua,12.51pm Thu,0.59,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Coopers Ck at Corndale,3.15pm Thu,0.64,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Coopers Ck at Repentance,2.42pm Thu,0.54,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Leycester Ck at Tuncester (mAHD),3.44pm Thu,0.54^,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Evans R at Tucombil Hwy Br,3.00pm Thu,1.34,falling,,2022-10-13 16:07:30.866648+11:00,NSW
Lake Ainsworth,3.15pm Thu,2.86,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Brogo R at Angledale,3.30pm Thu,1.37,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Mclaughlin R at The Hut,5.00am Thu,0.55,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Tantawangalo Ck at Candelo Damsite,3.30pm Thu,0.76,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Bega R at Kanoona,3.30pm Thu,1.82,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Bega River Entrance,3.15pm Thu,0.25,falling,,2022-10-13 16:07:30.866648+11:00,NSW
Bega R at Bega North,3.30pm Thu,1.04,steady,below minor,2022-10-13 16:07:30.866648+11:00,NSW
Merimbula Lake at Wharf,3.15pm Thu,-0.05,falling,,2022-10-13 16:07:30.866648+11:00,NSW
Pambula R at Lochiel,3.30pm Thu,0.87,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Towamba R at Towamba,3.30pm Thu,0.99,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Eden Boat Harbour,3.16pm Thu,0.58,falling,,2022-10-13 16:07:30.866648+11:00,NSW
Little Plains R at Wellesley,3.30pm Thu,0.80,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Delegate R at Quidong,3.30pm Thu,0.77,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Snowy R at Burnt Hut Crossing,2.00pm Thu,2.20,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Maguires Ck at Teven,3.43pm Thu,0.45,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Snowy R at Dalgety Weir,2.30pm Thu,1.59,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Bombala R at Bombala,3.30pm Thu,1.26,steady,below minor,2022-10-13 16:07:30.866648+11:00,NSW
Snowy R at Mckillops Br,6.20pm Wed,2.57,,,2022-10-13 16:07:30.866648+11:00,NSW
Clarence R at Baryulgil,3.00pm Thu,2.16,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Timbarra R at Drake,9.15am Thu,1.43,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Timbarra R at Billyrimba,3.00pm Thu,0.71,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Clarence R at Tabulam,3.00pm Thu,0.89,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Peacock Ck at Bonalbo,3.00pm Thu,0.18,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Cataract R at Sandy Hill,3.15pm Thu,0.74,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Maryland R at Wylie Creek,3.00pm Thu,0.69,steady,,2022-10-13 16:07:30.866648+11:00,NSW
