Site,Site name,Lat,Lon
001006,Wyndham Aero,-15.5100,128.1503
001007,Troughton Island,-13.7542,126.1485
001010,Theda,-14.7885,126.4963
001013,Wyndham,-15.4869,128.1236
001014,Emma Gorge,-15.9083,128.1286
001018,Mount Elizabeth,-16.4181,126.1025
001019,Kalumburu,-14.2964,126.6453
001020,Truscott,-14.0900,126.3867
001023,El Questro,-16.0086,127.9806
001024,Ellenbrae,-15.9572,127.0628
001025,Doongan,-15.3797,126.3114
001026,Drysdale River Station,-15.7031,126.3781
001027,Diggers Rest,-15.6394,128.0803
001028,Home Valley,-15.7231,127.8292
001030,Kimberley Coastal Camp,-14.5786,125.9133
001031,Faraway Bay,-13.9600,127.1964
001034,West Bastion,-15.4533,128.1239
001035,Parry Creek Farm,-15.5972,128.2783
001036,Doongan Asa,-15.3792,126.3108
002001,Argyle Downs,-16.5039,128.9173
002005,Carlton Hill,-15.4864,128.5344
002009,Gibb River,-16.4202,126.4412
002012,Halls Creek Meteorological Office,-18.2291,127.6636
002013,Ivanhoe Station,-15.6900,128.6833
002014,Kimberley Res.Station,-15.6545,128.7091
002016,Lissadell,-16.6742,128.5533
002019,Margaret River Station,-18.6253,126.8617
002020,Moola Bulla,-18.1894,127.5011
002021,Mount Amhurst,-18.3869,126.9892
002022,Mount Winifred,-18.0160,126.3033
002023,Nicholson,-18.0310,128.8941
002026,Ruby Plains,-18.5959,127.6420
002028,Spring Creek,-16.8180,128.8656
002029,Sturt Creek,-19.1625,128.1633
002030,Yulmbu,-17.2986,126.9158
002032,Warmun,-17.0154,128.2174
002036,Old Mornington Homestead,-17.3922,126.2306
002043,Mount Krauss,-18.3368,126.1243
002044,Lake Argyle Resort,-16.1119,128.7414
002047,Bedford Downs,-17.2631,127.4617
002048,Flora Valley,-18.2972,128.4419
002049,Sophie Downs,-18.1947,127.8147
002050,Springvale,-17.7842,127.6853
002051,Billiluna,-19.5557,127.6661
002053,Lansdowne,-17.6133,126.7442
002056,Kununurra Aero,-15.7814,128.7100
002060,Kingston Rest,-16.0397,128.4150
002061,Carranya,-19.3322,127.6367
002062,Fox River,-18.4233,128.0308
002064,Argyle Aerodrome,-16.6380,128.4516
002067,Kununurra Checkpoint,-15.9816,128.9991
002068,Marion Downs,-17.0716,126.8494
002069,Kachana,-16.4433,127.7836
002072,Bedford Downs Airstrip,-17.2797,127.4648
002073,Margaret River Airstrip,-18.6217,126.8831
002074,Moola Bulla Airstrip,-18.1958,127.4948
002075,Bulka,-19.0372,126.0933
002076,Mornington,-17.5115,126.1095
002077,Siddins Creek,-16.9203,126.5511
002078,Larrawa Airfield,-18.8318,126.5301
003000,Beagle Bay,-16.9807,122.6662
003001,Country Downs,-17.2767,122.5711
003003,Broome Airport,-17.9475,122.2352
003004,Cape Leveque,-16.3961,122.9278
003008,Ellendale,-17.9281,124.8108
003009,Jubilee Downs,-18.3547,125.3033
003010,Kimberley Downs,-17.3927,124.3574
003014,Gogo Station,-18.2914,125.5869
003015,Meda,-17.3680,123.9956
003017,Mount House Station,-17.0516,125.7051
003018,Myroodah,-18.1225,124.2692
003019,Napier Downs,-17.3305,124.8166
003020,Nerrima,-18.4922,124.3992
003022,Quanbun Downs,-18.3817,125.2267
003023,Roebuck Plains,-17.9315,122.4722
003024,Udialla,-17.9464,123.7383
003026,Yeeda,-17.6153,123.6483
003027,Fossil Downs,-18.1386,125.7764
003028,Anna Plains,-19.2536,121.4861
003030,Bidyadanga,-18.6844,121.7803
003032,Derby Aero,-17.3706,123.6611
003033,Blina,-17.7472,124.5283
003040,Camballin,-17.9903,124.1922
003041,Kilto Station,-17.6924,122.7127
003043,Christmas Creek Homestead,-18.8772,125.9207
003044,Brooking Springs,-18.1103,125.6431
003048,Cherrabun,-18.9159,125.5264
003051,Mount Barnett,-16.7372,125.9086
003052,Mount Hart Station,-16.8214,124.9151
003056,Thangoo,-18.1792,122.3583
003057,Cygnet Bay,-16.4513,123.0087
003059,Nita Downs,-19.0861,121.6764
003063,Charnley River,-16.7164,125.4600
003066,Port Smith,-18.5175,121.8072
003068,Dampier Downs,-18.5077,123.4561
003073,Kimbolton,-16.6872,123.8375
003074,Yakkamunga,-17.9343,123.4736
003075,Derby Main Roads,-17.3136,123.6497
003079,Shelamar,-18.9897,121.7208
003080,Curtin Aero,-17.5768,123.8297
003084,Derby,-17.3436,123.6781
003086,Willare Bridge,-17.7278,123.6547
003088,Larrawa,-18.8375,126.5247
003090,Debesa,-17.7981,124.0772
003091,Beefwood Park,-18.9894,125.8478
003093,Fitzroy Crossing Aero,-18.1814,125.5619
003094,Windjana Gorge,-17.4211,124.9246
003098,Mount House Airstrip,-17.0535,125.7120
003099,Leopold Downs Tbrg,-17.7535,125.3807
003100,Liveringa Station,-17.9503,124.2653
003101,Dampier Downs Airstrip,-18.5096,123.4676
003103,Middle Lagoon,-16.7742,122.5762
003105,Laurel Downs,-18.1105,125.3347
003108,Yampi Sound,-16.7671,123.9810
004004,Bamboo Creek,-20.9264,120.2075
004006,Bonney Downs,-22.1828,119.9350
004008,Carlindie,-20.6392,119.2431
004012,De Grey,-20.1756,119.1908
004016,Indee,-20.7867,118.5972
004019,Mandora,-19.7419,120.8433
004022,Muccan,-20.6334,120.0863
004023,Mulyie,-20.4619,119.5189
004024,Mundabullangana,-20.5192,118.0603
004026,Noreena Downs,-22.2914,120.1761
004028,Pardoo Station,-20.1078,119.5811
004029,Cooragoora,-19.9604,120.2744
004032,Port Hedland Airport,-20.3725,118.6317
004033,Pyramid Station,-21.0561,117.4436
004036,Strelley,-20.4681,119.0556
004038,Wallareenya,-20.7483,118.8172
004039,Warambie,-20.9484,117.3732
004041,Warrawagine,-20.8508,120.6961
004042,Whim Creek,-20.8414,117.8353
004046,Yarrie,-20.6739,120.2044
004059,Mallina,-20.8822,118.0308
004068,Wallal Downs,-19.7789,120.6417
004083,Karratha Aero,-20.7097,116.7742
004086,Sherlock,-20.8956,117.6447
004090,Roebourne Aero,-20.7594,117.1583
004095,Legendre Island,-20.3583,116.8431
004100,Bedout Island,-19.5894,119.1000
004102,Meentheena,-21.2669,120.4544
004103,Nifty Copper Mine,-21.6525,121.5592
004106,Marble Bar,-21.1756,119.7497
005001,Coolawanyah,-21.8047,117.8056
005003,Ethel Creek,-22.8972,120.1733
005004,Exmouth Gulf,-22.3761,114.1105
005005,Hamersley,-22.2794,117.6775
005006,Kooline,-22.9119,116.2903
005007,Learmonth Airport,-22.2406,114.0967
005008,Mardie,-21.1906,115.9797
005009,Marillana,-22.6331,119.4081
005012,Millstream,-21.5906,117.0656
005013,Minderoo,-21.9969,115.0463
005014,Mount Florance,-21.7869,117.8647
005017,Onslow Airport,-21.6689,115.1092
005020,Ningaloo,-22.6975,113.6744
005022,Red Hill,-21.9750,116.0653
005023,Roy Hill,-22.6217,119.9564
005028,Wyloo,-22.6906,116.2328
005029,Yalleen,-21.6767,116.3928
005030,Yanrey,-22.5064,114.7944
005032,Yarraloola Homestead,-21.5703,115.8786
005033,Koordarrie,-22.3419,114.9319
005034,Mount Stuart,-22.4558,116.0508
005036,Glen Florrie Station,-22.9367,115.9825
005040,Balmoral,-21.1594,116.1197
005045,Giralia,-22.6850,114.3673
005051,Exmouth Town,-21.9303,114.1260
005052,Karratha Station,-20.8831,116.6725
005061,Dampier Salt,-20.7278,116.7483
005066,Uaroo,-22.7814,115.3722
005068,Bullara,-22.6811,114.0394
005069,Pannawonica,-21.6392,116.3308
005070,Robe,-21.3567,115.8208
005071,Pindral Outcamp,-21.3444,115.9356
005073,Hooley,-21.8836,118.2217
005078,Urala,-21.7666,114.8211
005080,Cape Range,-22.1033,113.9997
005081,Dampier Radar,-20.6544,116.6822
005082,Eramurra Pool,-21.0544,116.2575
005085,Rocklea,-22.8853,117.4464
005088,Mulyering,-21.2475,116.0733
005090,Mount Minnie,-21.9711,115.4324
005093,Auski Munjina Roadhouse,-22.3767,118.6886
005094,Barrow Island Airport,-20.8740,115.4066
005095,Cheela Plains,-22.9367,116.9731
005096,Point Murat Navy Pier,-21.8167,114.1910
005097,Learmonth Solar Observatory,-22.2183,114.1031
005098,Karijini North,-22.2999,118.4498
006000,Bidgemia,-25.0417,115.3092
006001,Billabalong,-27.4231,115.8347
006003,Boolathana,-24.6525,113.6936
006005,Brickhouse,-24.8208,113.7853
006008,Callagiddy Station,-25.0481,114.0294
006009,Cardabia,-23.1044,113.8038
006010,Carey Downs,-25.6114,115.4625
006011,Carnarvon Airport,-24.8878,113.6700
006015,Cooralya,-24.4453,114.0779
006017,Dairy Creek,-25.2786,115.8633
006019,Doorawarrah,-24.8060,114.4310
006020,Edaggee,-25.3600,114.2292
006021,Eudamullah,-24.4508,115.6072
006022,Gascoyne Junction,-25.0544,115.2100
006023,Gnaraloo,-23.8222,113.5256
006025,Hamelin Pool,-26.3994,114.1658
006026,Hamelin Station,-26.4278,114.1916
006027,Jimba Jimba,-25.0442,115.1331
006029,Lyndon,-23.6361,115.2461
006030,Lyons River,-24.6314,115.3383
006032,Mardathuna,-24.4733,114.5553
006033,Maroonah,-23.4796,115.5478
006034,Marron,-25.3656,114.3594
006036,Meedo,-25.6631,114.6261
006038,Mia Mia,-23.3817,114.4375
006039,Minilya,-23.8497,113.9714
006040,Minnie Creek,-24.0306,115.6967
006044,Denham,-25.9265,113.5325
006045,Tamala,-26.6969,113.7158
006050,Wandagee,-23.7647,114.5539
006052,Williambury,-23.8608,115.1475
006053,Winderie,-25.3021,115.1164
006054,Woodleigh,-26.0511,114.7542
006055,Woolgorong,-27.7456,115.8286
006056,Wooramel,-25.7400,114.2847
006057,Yalbalgo,-25.1883,114.6800
006058,Yallalong,-27.4278,115.5147
006059,Yaringa Station,-25.9436,114.3222
006060,Carbla Station,-26.2011,114.2869
006062,Carnarvon Post Office,-24.8858,113.6565
006066,Winning,-23.1567,114.5403
006068,Wahroonga,-25.4906,114.3981
006069,Mount Narryer,-26.5903,115.9267
006070,Hill Springs,-24.3058,114.5003
006072,Emu Creek Station,-23.0314,115.0414
006092,Billabong Asa,-26.8156,114.6133
006095,Quobba,-24.3967,113.4056
006097,Useless Loop,-26.1203,113.3975
006098,Weedarrah,-25.0280,115.8620
006099,Murchison,-26.8956,115.9567
006102,Steep Point,-26.1764,113.2149
006103,Middalya,-23.9064,114.7681
006104,Minnie Creek Airstrip,-24.0297,115.6894
006105,Shark Bay Airport,-25.8925,113.5772
006106,Mooloo Downs,-25.0370,115.9940
006108,Cape Cuvier Wharf,-24.2201,113.3975
006110,Red Bluff,-24.0305,113.4509
006111,Winderie Airstrip,-25.3097,115.1450
006112,Lyons River Airstrip,-24.6200,115.3347
006113,Bullardoo Tbrg,-27.8556,115.6716
007001,Beebyn,-26.9683,117.9031
007003,Beringarra,-26.0417,116.9528
007006,Boogardie,-28.0411,117.6703
007007,Boolardy,-26.9839,116.5353
007008,Bryah,-25.5059,118.7983
007014,Coodardy,-27.2528,117.6522
007017,Cue,-27.4250,117.8936
007019,Bulloo Downs,-24.0019,119.5725
007023,Doolgunna,-25.6864,119.2258
007024,Edah,-28.2731,117.1544
007027,Gabyon,-28.2494,116.3400
007028,Wanna,-24.0469,116.2181
007030,Judal Station,-26.1142,117.5047
007031,Hillview,-26.9033,118.8361
007034,Jingemarra,-27.7444,116.7439
007037,Kirkalocka,-28.5564,117.7803
007041,Landor,-25.1303,116.9047
007045,Meekatharra Airport,-26.6136,118.5372
007047,Meeline Station,-28.4467,118.2678
007048,Meka Station,-27.4222,116.8250
007049,Mileura,-26.3736,117.3339
007050,Milgun,-25.0942,118.2983
007052,Moorarie,-25.9214,117.6000
007053,Mount Augustus,-24.3086,116.9111
007054,Mount Farmer,-27.8794,117.5506
007055,Mount Gould,-25.8058,117.3905
007058,Mount Phillip,-24.4000,116.3078
007059,Mount Vernon,-24.2297,118.2408
007060,Mount Wittenoom,-27.4189,116.6897
007064,Murgoo,-27.3636,116.4261
007065,Nalbarra,-28.6519,117.6083
007067,Narndee,-28.9467,118.1857
007068,Ninghan Station,-29.4250,117.2906
007071,Pindathuna,-28.0531,116.6514
007072,Pullagaroo,-29.1886,117.9222
007078,Sherwood,-26.5593,118.5423
007079,Sylvania,-23.5867,120.0517
007080,Three Rivers,-25.1256,119.1514
007081,Thundelarra,-28.8928,117.1333
007082,Tuckanarra,-27.1192,118.0842
007083,Turee Creek,-23.6239,118.6561
007089,Wooleen,-27.0878,116.1606
007090,Wydgee,-28.8439,117.8311
007091,Yalgoo,-28.3386,116.6825
007093,Yarlerweelor,-25.5786,117.9933
007094,Yinnetharra,-24.6510,116.1650
007095,Yoweragabbie,-28.2322,117.6556
007096,Yuin,-27.9808,116.0347
007097,Wondinong,-27.8608,118.4183
007099,Yarrabubba,-27.1308,118.7803
007100,Mount Padbury,-25.6933,118.0803
007101,Munarra,-26.2822,118.6933
007103,Neds Creek,-25.4800,119.6492
007104,Pingandy,-23.9958,117.5225
007105,Woodlands,-24.8083,118.1105
007119,Ashburton Downs,-23.3856,117.0322
007124,Dalgety Downs,-25.2806,116.2083
007129,Melangata,-27.8036,116.8857
007130,Milly Milly,-26.0747,116.6942
007132,Mount Clere,-25.0964,117.5922
007134,Murchison Downs,-26.7950,118.9842
007135,Murrum Station,-28.2747,117.3919
007139,Paynes Find,-29.2708,117.6836
007146,Wogarno,-28.3831,117.6817
007149,Meekatharra,-26.5942,118.4883
007152,Kumarina,-24.7500,119.6056
007153,Prairie Downs,-23.5531,119.1478
007154,Wynyangoo,-27.9369,118.1889
007156,Tardie Station,-27.9578,116.3383
007159,Yarraquin,-27.5481,118.2182
007160,Paroo,-26.2628,119.7639
007161,Errabiddy,-25.4628,117.1364
007162,Mount Seabrook,-25.5986,117.7325
007164,Edmund,-23.7633,116.1206
007165,Mingah Springs,-24.9483,118.7147
007176,Newman Aero,-23.4213,119.8023
007177,Mininer,-23.6042,117.6892
007179,Tangadee,-24.4114,118.9408
007180,Marymia,-25.0386,120.0064
007181,Weelarrana,-22.9789,120.0100
007185,Paraburdoo Aero,-23.1726,117.7493
007190,Maranalgo,-29.3892,117.8297
007192,Nallan,-27.3158,117.9719
007193,Glen Station,-27.0497,117.6500
007194,Youno Downs,-27.0722,119.2522
007195,Byro,-26.0794,116.1539
007197,Challa,-28.2813,118.3106
007207,Landor Airstrip,-25.1283,116.9369
007208,Mount Augustus Airstrip,-24.3075,116.9094
007209,Cobra Airstrip,-24.1994,116.4814
007210,Burringurrah Airstrip,-24.6347,116.9472
007211,Dalgety Downs Airstrip,-25.2694,116.2211
007212,Ginginjibby,-24.6141,117.6530
007300,Ten Sixty Six,-24.1847,119.7175
007500,Innouendy,-25.6939,116.5381
007501,Narloo,-27.8764,116.2616
007600,Mount Magnet Aero,-28.1156,117.8425
008000,Ajana,-27.9607,114.6336
008002,Ballidu,-30.5967,116.7714
008004,Balline,-28.0058,114.2206
008005,Barberton,-30.7294,116.0200
008007,Pindawa,-28.8956,115.8106
008008,Berkshire Valley,-30.5831,116.1350
008009,Bindi Bindi East,-30.6286,116.3861
008010,Binnu,-28.0422,114.6737
008013,Bowgada,-29.3303,116.1433
008014,Dalwallinu North,-30.2192,116.7783
008016,Glenferrie,-30.4450,117.0406
