name,bom_stn_num
Tyalgum Bridge,558088
Clarrie Hall Dam (mAHD),558028
Clarrie Hall Dam D/S,558009
Corindi R at Boyles Bridge,559070
Corindi R at Pacific Highway,559069
Woolgoolga Ck at Woolgoolga,559043
Slatey Creek,561176
Winding Ck at Fifth St Br,561178
Cockle Ck at Barnsley Vale,561068
Shoalhaven R at Mountview,569019
Shoalhaven R at Warri,570037
Mongarlowe R at Mongarlowe,569010
Severn R at Fladbury,556019
Severn R at Strathbogie,554004
Severn R at Ducca Marrin,554012
Macintyre R at Wallangra,54147
Severn R at Pindari Dam W/L,554001
Severn R at Ashford,54145
Fish R at Tarana,63297
Campbells R U/S Chifley Dam,63298
Chifley Dam,563008
Queanbeyan R at Tinderry,570965
Queanbeyan R U/S Googong Dam,570781
Burra Ck at Burra,570002
Maranoa R at Old Cashmere,43100
Balonne R at Surat,543005
Balonne R at St George,43104
Wonnangatta R at Crooked River,585033
Wonnangatta R at Waterford,84118
Dargo R at Lower Dargo Rd,584005
Latrobe R at Noojee,585036
Latrobe R at Willowgrove,585030
Moe R at Darnum,585247
Werribee R at Ballan,587017
Werribee R at Bacchus Marsh,587023
Parwan Ck at Parwan,587042
Barwon R at Ricketts Marsh,590000
Barwon R at Kildean Lane,590006
Barwon R at Winchelsea,87109
Wimmera R at Eversley,579005
Mt. Cole Ck at Crowlands,579006
Wattle Ck at Navarre,579010
Coliban R at Springhill,588035
Coliban R D/S Lauriston Res,588036
Coliban R at Malmsbury Res,588033
Delatite  R at Tonga Bridge,588127
Jamieson R at Gerrang Bridge,583014
Goulburn R at Dohertys,583151
Murray R at Biggara,582015
Murray R at Bringenbrong,572004
Corryong Ck at Towong,582026
Lt Nerang Ck at Little Nerang Dam #,540054
Nerang R at Numinbah Valley #,540438
Nerang R at Numinbah Valley *,540437
Stanley R at Peachester *,540046
Stanley R at Woodford-1 #,540337
Stanley R at Woodford-2 #,540338
Mooloolah R at Mooloolah #,540345
Mooloolah R at Mooloolah *,540300
Ewen Maddock Dam #,540346
Burrum R at Lenthalls Dam #,40906
Burrum R at Lenthalls Dam *,540267
Torbanlea #,540449
Alligator Flats #,539220
Baffle Ck at Mimdale #,539132
Baffle Ck at Mimdale *,539085
Carmila Ck at Carmila *,533014
Plane Ck at West Plane Ck Rd #,533212
Plane Ck at Sucrogen Weir #,533143
Wild R at Silver Valley *,531015
Millstream at Ravenshoe *,531059
Millstream at Archers Creek *,531021
Condamine R at The Head #,541144
Condamine R at Brosnans Barn *,541039
Spring Ck u/s Killarney #,541138
Warrego R at Barngo Crossing #,535167
Warrego R at Bogarella Crossing #,544038
Warrego R at Caroline Crossing #,544042
Cornish Ck at Bowen Downs *,536006
Towerhill Ck at Gelebele *,536016
Landsborough R at Tragowel *,536015
East Normanby R at Mulligan Hwy *,531091
Normanby R at Battle Camp *,528002
Laura R at Coalseam Ck *,528004
Onkaparinga R at Charleston,23907
Onkaparinga R at Woodside,523714
Western Branch Creek at Tiers Rd,523716
Torrens R at Mt Pleasant (DEW),523778
Torrens R at Mt Pleasant (SAW),523732
Angas Ck at Muellers Rd,523735
Malcolm Creek (SAW),523784
Warren Reservoir (SAW),523737
South Para Reservoir (SAW),523311
Angas R at Angas Weir (DEW),523773
Angas R DS Willyaroo (DEW),524523
Angas R DS Ballandown Rd (DEW),524534
Wakefield R at Taylors VY (DEW),521013
Eyre Creek at Auburn (DEW),521016
Skillogalee Ck at Goodonga (DEW),521015
R Murray at Wentworth (Lock 10),47100
R Murray US Lock 9 (DEW),547009
R Murray DS Lock 9 (DEW),547006
Hutt R at Clare Car. Park (DEW),521008
Cooper Ck at Nappa Merrie,545002
Duck Rv at Scotchtown (D),591035
Forth Rv (Abv Lemonthyme PS) (H),596057
Meander Rv at Meander,91267
Meander Rv at Deloraine Rwy Br (H),91227
Meander Rv at Strathbridge (D),91260
Coal Rv at Craigbourne Dam (D),94182
White Kangaroos Rt abv Coal Rv (D),594018
Coal Rv at Richmond (D),94183
Ord River at Bedford Downs,502015
Ord River at Old Ord Homestead,502028
Negri River at Mistake Ck Homestead,514825
Oakover River at Ripon Hills Road,504039
Nullagine River at Nullagine,504016
Nullagine River at Tumbinna Pool,504036
Minilya River at Minilya Bridge,506004
Gascoyne River at Yinnetharra Xing,507000
Hutt River at Yerina,508040
Chapman River at Utakarra,508026
Yilgarn River at Gairdners Crossing,510030
Lockhart River at Kwolyn Hill,510252
Avon River at Boyagarra Rd,510514
Big Brook at Oneil Road,509221
Serpentine Drain at Dog Hill,509295
Punrack Drain at Yangedi Swamp,509483
Walsall Bk at Chapman Hill Rd CB2,109509
Vasse River at Doyle Rd CB1,109508
