Station Name,Time/Day,Height,Tendency,Flood Class,Recent Data,Scraped,State
Upper Shoalhaven River,Upper Shoalhaven River,Upper Shoalhaven River,Upper Shoalhaven River,Upper Shoalhaven River,Upper Shoalhaven River,2022-10-13 14:24:34.630307+11:00,NSW
Shoalhaven R at Mountview,1.30pm Thu,1.94,steady,,Plot | Table,2022-10-13 14:24:34.630307+11:00,NSW
Shoalhaven R at Warri,2.00pm Thu,2.10,steady,,Plot | Table,2022-10-13 14:24:34.630307+11:00,NSW
Mongarlowe R at Mongarlowe,1.30pm Thu,1.31,steady,,Plot | Table,2022-10-13 14:24:34.630307+11:00,NSW
Shoalhaven R at Hillview,1.00pm Thu,2.17,steady,,Plot | Table,2022-10-13 14:24:34.630307+11:00,NSW
Central Shoalhaven River,Central Shoalhaven River,Central Shoalhaven River,Central Shoalhaven River,Central Shoalhaven River,Central Shoalhaven River,2022-10-13 14:24:34.630307+11:00,NSW
Shoalhaven R at Fossickers Flat,1.30pm Thu,2.24,steady,,Plot | Table,2022-10-13 14:24:34.630307+11:00,NSW
Kangaroo Valley,Kangaroo Valley,Kangaroo Valley,Kangaroo Valley,Kangaroo Valley,Kangaroo Valley,2022-10-13 14:24:34.630307+11:00,NSW
Kangaroo R at Hampden Br,1.28pm Thu,0.78,steady,,Plot | Table,2022-10-13 14:24:34.630307+11:00,NSW
Lower Shoalhaven River,Lower Shoalhaven River,Lower Shoalhaven River,Lower Shoalhaven River,Lower Shoalhaven River,Lower Shoalhaven River,2022-10-13 14:24:34.630307+11:00,NSW
Shoalhaven R at Tallowa Dam,12.45pm Thu,0.30,steady,,Plot | Table,2022-10-13 14:24:34.630307+11:00,NSW
Danjera Ck at Danjera Dam,2.06pm Thu,0.37,steady,,Plot | Table,2022-10-13 14:24:34.630307+11:00,NSW
Danjera Ck U/S Dam,12.33pm Thu,0.03,steady,,Plot | Table,2022-10-13 14:24:34.630307+11:00,NSW
Shoalhaven R at Grassy Gully,11.00am Thu,3.12,steady,,Plot | Table,2022-10-13 14:24:34.630307+11:00,NSW
Shoalhaven R at Nowra (AHD),1.45pm Thu,0.77,falling,below minor,Plot | Table,2022-10-13 14:24:34.630307+11:00,NSW
Shoalhaven R at Shoalhaven Heads,2.14pm Thu,0.52,falling,,Plot | Table,2022-10-13 14:24:34.630307+11:00,NSW
Crookhaven R at Greenwell Pt,2.01pm Thu,0.42,falling,,Plot | Table,2022-10-13 14:24:34.630307+11:00,NSW
Crookhaven R at Crookhaven Heads,1.46pm Thu,0.35,falling,,Plot | Table,2022-10-13 14:24:34.630307+11:00,NSW
Lake Wollumboola,1.45pm Thu,0.52,steady,,Plot | Table,2022-10-13 14:24:34.630307+11:00,NSW
Broughton Creek,1.58pm Thu,0.79,falling,,Plot | Table,2022-10-13 14:24:34.630307+11:00,NSW
Currarong,1.14pm Thu,0.48,,,Plot | Table,2022-10-13 14:24:34.630307+11:00,NSW
Crooked River,Crooked River,Crooked River,Crooked River,Crooked River,Crooked River,2022-10-13 14:24:34.630307+11:00,NSW
Crooked R at Gerroa,1.45pm Thu,0.50,falling,,Plot | Table,2022-10-13 14:24:34.630307+11:00,NSW
St Georges Basin,St Georges Basin,St Georges Basin,St Georges Basin,St Georges Basin,St Georges Basin,2022-10-13 14:24:34.630307+11:00,NSW
Currambene Ck at Falls Ck,2.00pm Thu,0.48,steady,,Plot | Table,2022-10-13 14:24:34.630307+11:00,NSW
Tomerong Ck at Hawken Rd (AHD),2.12pm Thu,0.30^,steady,,Plot | Table,2022-10-13 14:24:34.630307+11:00,NSW
