Station Name,Time/Day,Height,Tendency,Crossing,Flood Class,Recent Data,Scraped,State
Border Rivers,Border Rivers,Border Rivers,Border Rivers,Border Rivers,Border Rivers,Border Rivers,2022-10-14 12:20:01.588750+11:00,NSW
Macintyre R at Wallangra,10.00am Fri,1.25,steady,,,Plot | Table,2022-10-14 12:20:01.588750+11:00,NSW
Severn R at Pindari Dam W/L,10.00am Fri,516.05,steady,0.05 above Spillway,,Plot | Table,2022-10-14 12:20:01.588750+11:00,NSW
Severn R at Ashford,10.00am Fri,1.26,steady,,below minor,Plot | Table,2022-10-14 12:20:01.588750+11:00,NSW
Macintyre River at Ridgelands,11.00am Fri,1.77,steady,,,Plot | Table,2022-10-14 12:20:01.588750+11:00,NSW
Macintyre R at Holdfast,10.00am Fri,1.41,steady,,,Plot | Table,2022-10-14 12:20:01.588750+11:00,NSW
Quart Pot Ck U/S Storm King Dam #,9.37am Fri,1.69,steady,1.02 below Bridge,below minor,Plot | Table,2022-10-14 12:20:01.588750+11:00,NSW
Mountain Station Ck at Mt Stat Ck #,8.19am Fri,0.35,steady,1.25 below Road,below minor,Plot | Table,2022-10-14 12:20:01.588750+11:00,NSW
Quart Pot Ck at Storm King Dam HW #,8.59am Fri,0.09,steady,0.09 above Spillway,below minor,Plot | Table,2022-10-14 12:20:01.588750+11:00,NSW
Quart Pot Ck at Dalcouth Road #,10.24am Fri,1.00,steady,0.30 below Causeway,below minor,Plot | Table,2022-10-14 12:20:01.588750+11:00,NSW
Quart Pot Ck at Granite Street #,9.41am Fri,0.53,rising,0.08 below Road,below minor,Plot | Table,2022-10-14 12:20:01.588750+11:00,NSW
Quart Pot Ck at Stanthorpe #,9.33am Fri,0.33,steady,,below minor,Plot | Table,2022-10-14 12:20:01.588750+11:00,NSW
Quart Pot Ck at Stanthorpe *,10.00am Fri,0.39,steady,,below minor,Plot | Table,2022-10-14 12:20:01.588750+11:00,NSW
4 Mile Ck at Glen Niven Dam TM*,10.00am Fri,879.46,steady,0.11 above Spillway,,Plot | Table,2022-10-14 12:20:01.588750+11:00,NSW
Broadwater Creek #,10.07am Fri,0.78,steady,,below minor,Plot | Table,2022-10-14 12:20:01.588750+11:00,NSW
Broadwater Creek *,10.00am Fri,0.77,steady,,below minor,Plot | Table,2022-10-14 12:20:01.588750+11:00,NSW
