Station Name,Time/Day,Height,Tendency,Crossing,Flood Class,Recent Data,Scraped,State
Victoria Catchment,Victoria Catchment,Victoria Catchment,Victoria Catchment,Victoria Catchment,Victoria Catchment,Victoria Catchment,2022-10-14 11:50:01.820158+11:00,NT
Armstrong R u/s Buntine Highway*,6.00am Fri,0.02,steady,3.58 below bridge deck,,Plot | Table,2022-10-14 11:50:01.820158+11:00,NT
Townsend Ck u/s Buntine Highway*,6.00am Fri,0.14,steady,2.61 below bridge deck,,Plot | Table,2022-10-14 11:50:01.820158+11:00,NT
Camfield R at Buntine Highway*,9.00am Fri,0.80,steady,4.00 below bridge deck,,Plot | Table,2022-10-14 11:50:01.820158+11:00,NT
Victoria R at Kalkarindji*,9.45am Fri,-0.45,steady,9.75 below bridge deck,below minor,Plot | Table,2022-10-14 11:50:01.820158+11:00,NT
Wickham R at Williams Crossing*,6.00am Fri,0.36,steady,0.17 below crossing,,Plot | Table,2022-10-14 11:50:01.820158+11:00,NT
Victoria R at Dashwood Crossing*,6.00am Fri,0.02,steady,0.48 below crossing,,Plot | Table,2022-10-14 11:50:01.820158+11:00,NT
Katherine Catchment,Katherine Catchment,Katherine Catchment,Katherine Catchment,Katherine Catchment,Katherine Catchment,Katherine Catchment,2022-10-14 11:50:01.820158+11:00,NT
Katherine R near Birdie Creek*,10.00am Fri,1.03,steady,At Level of CTF,,Plot | Table,2022-10-14 11:50:01.820158+11:00,NT
Seventeen Mile Creek*,9.50am Fri,0.69,steady,0.36 above CTF,,Plot | Table,2022-10-14 11:50:01.820158+11:00,NT
Katherine R at Nitmiluk Centre#,9.50am Fri,-1.90,steady,0.10 below CTF,below minor,Plot | Table,2022-10-14 11:50:01.820158+11:00,NT
Maud Creek*,9.50am Fri,5.21,steady,4.79 below bridge deck,,Plot | Table,2022-10-14 11:50:01.820158+11:00,NT
Katherine R at Ironwood Station*,9.45am Fri,1.29,steady,0.09 above CTF,,Plot | Table,2022-10-14 11:50:01.820158+11:00,NT
Katherine R at Katherine Bridge#,9.45am Fri,0.22,steady,18.78 below bridge deck,below minor,Plot | Table,2022-10-14 11:50:01.820158+11:00,NT
Daly Catchment,Daly Catchment,Daly Catchment,Daly Catchment,Daly Catchment,Daly Catchment,Daly Catchment,2022-10-14 11:50:01.820158+11:00,NT
Dry R near Manbulloo*,6.00am Fri,0.07,steady,0.13 below CTF,,Plot | Table,2022-10-14 11:50:01.820158+11:00,NT
King R d/s Stuart Highway*,8.00am Fri,0.67,steady,0.22 above CTF,,Plot | Table,2022-10-14 11:50:01.820158+11:00,NT
King R d/s Victoria Highway*,6.00am Fri,0.81,steady,0.50 above CTF,,Plot | Table,2022-10-14 11:50:01.820158+11:00,NT
Flora R at Stoney Creek*,6.00am Fri,1.64,rising,0.79 above CTF,,Plot | Table,2022-10-14 11:50:01.820158+11:00,NT
Edith R u/s Stuart Highway*,8.40am Fri,0.34,steady,0.16 above CTF,,Plot | Table,2022-10-14 11:50:01.820158+11:00,NT
Cullen R at Stuart Highway*,9.40am Fri,0.39,steady,5.71 below bridge deck,,Plot | Table,2022-10-14 11:50:01.820158+11:00,NT
Fergusson R at Railway Bridge*,9.00am Fri,1.12,steady,,,Plot | Table,2022-10-14 11:50:01.820158+11:00,NT
Fergusson R near Bondi Creek*,9.40am Fri,2.60,steady,0.40 above crossing,,Plot | Table,2022-10-14 11:50:01.820158+11:00,NT
Daly R at Dorisvale Crossing*,9.00am Fri,1.65,steady,0.35 above crossing,,Plot | Table,2022-10-14 11:50:01.820158+11:00,NT
Daly R at Theyona Station*,9.00am Fri,1.29,steady,1.29 above CTF,,Plot | Table,2022-10-14 11:50:01.820158+11:00,NT
Douglas R at Douglas Crossing*,10.00am Fri,0.65,steady,0.38 above CTF,,Plot | Table,2022-10-14 11:50:01.820158+11:00,NT
Daly R at Beeboom Crossing*,9.00am Fri,0.80,steady,0.20 below crossing,,Plot | Table,2022-10-14 11:50:01.820158+11:00,NT
Daly R at Gourley*,9.00am Fri,1.52,steady,,,Plot | Table,2022-10-14 11:50:01.820158+11:00,NT
Daly R at Mount Nancar*,8.45am Fri,1.70,steady,,,Plot | Table,2022-10-14 11:50:01.820158+11:00,NT
Daly R at Daly R Police Station*,9.45am Fri,1.27,steady,0.23 below crossing,below minor,Plot | Table,2022-10-14 11:50:01.820158+11:00,NT
Finniss Catchment,Finniss Catchment,Finniss Catchment,Finniss Catchment,Finniss Catchment,Finniss Catchment,Finniss Catchment,2022-10-14 11:50:01.820158+11:00,NT
Rapid Creek*,10.00am Fri,0.94,steady,0.13 above CTF,below minor,Plot | Table,2022-10-14 11:50:01.820158+11:00,NT
Elizabeth R at Stuart Highway*,9.40am Fri,-0.12,steady,2.92 below approaches,,Plot | Table,2022-10-14 11:50:01.820158+11:00,NT
Adelaide Catchment,Adelaide Catchment,Adelaide Catchment,Adelaide Catchment,Adelaide Catchment,Adelaide Catchment,Adelaide Catchment,2022-10-14 11:50:01.820158+11:00,NT
Adelaide R East Branch*,9.00am Fri,1.63,steady,0.13 above CTF,,Plot | Table,2022-10-14 11:50:01.820158+11:00,NT
Adelaide R West Branch*,10.00am Fri,1.09,steady,0.20 above CTF,,Plot | Table,2022-10-14 11:50:01.820158+11:00,NT
Adelaide R at Adelaide River Town*,9.40am Fri,1.46,steady,11.74 below bridge deck,below minor,Plot | Table,2022-10-14 11:50:01.820158+11:00,NT
Adelaide R at Tortilla Flats*,8.45am Fri,0.69,steady,2.41 below bridge deck,,Plot | Table,2022-10-14 11:50:01.820158+11:00,NT
Adelaide R at Marrakai Crossing*,9.45am Fri,1.28,steady,0.33 above CTF,,Plot | Table,2022-10-14 11:50:01.820158+11:00,NT
Adelaide R at Dirty Lagoon*,10.00am Fri,3.20,falling,,,Plot | Table,2022-10-14 11:50:01.820158+11:00,NT
Adelaide R at Arnhem Highway*,9.44am Fri,1.24,rising,1.21 below approaches,,Plot | Table,2022-10-14 11:50:01.820158+11:00,NT
Goyder Catchment,Goyder Catchment,Goyder Catchment,Goyder Catchment,Goyder Catchment,Goyder Catchment,Goyder Catchment,2022-10-14 11:50:01.820158+11:00,NT
Goyder R u/s Central Arnhem Rd*,6.00am Fri,1.61,steady,10.39 below bridge deck,,Plot | Table,2022-10-14 11:50:01.820158+11:00,NT
Roper Catchment,Roper Catchment,Roper Catchment,Roper Catchment,Roper Catchment,Roper Catchment,Roper Catchment,2022-10-14 11:50:01.820158+11:00,NT
Waterhouse R d/s of Diljin Hill*,6.00am Fri,1.39,steady,1.06 above CTF,,Plot | Table,2022-10-14 11:50:01.820158+11:00,NT
Waterhouse R at Beswick Bridge*,9.45am Fri,1.12,steady,4.88 below bridge deck,below minor,Plot | Table,2022-10-14 11:50:01.820158+11:00,NT
Wilton R at Roper Highway*,6.00am Fri,1.47,steady,7.81 below bridge deck,,Plot | Table,2022-10-14 11:50:01.820158+11:00,NT
Roper R downstream of Mataranka*,9.15am Fri,0.36,steady,0.29 above CTF,,Plot | Table,2022-10-14 11:50:01.820158+11:00,NT
McArthur Catchment,McArthur Catchment,McArthur Catchment,McArthur Catchment,McArthur Catchment,McArthur Catchment,McArthur Catchment,2022-10-14 11:50:01.820158+11:00,NT
McArthur R at Baileys Grave*,9.00am Fri,0.23,steady,0.88 below CTF,,Plot | Table,2022-10-14 11:50:01.820158+11:00,NT
McArthur R at MRM*,5.45am Fri,1.12,steady,0.29 below CTF,,Plot | Table,2022-10-14 11:50:01.820158+11:00,NT
McArthur R at Borroloola*,9.45am Fri,1.08,steady,7.92 below bridge deck,below minor,Plot | Table,2022-10-14 11:50:01.820158+11:00,NT
Todd Catchment,Todd Catchment,Todd Catchment,Todd Catchment,Todd Catchment,Todd Catchment,Todd Catchment,2022-10-14 11:50:01.820158+11:00,NT
Todd R at Wigley Gorge*,10.04am Fri,0.11,falling,0.19 below CTF,below minor,Plot | Table,2022-10-14 11:50:01.820158+11:00,NT
Charles R at Big Dipper#,9.40am Fri,0.21,steady,0.25 below CTF,,Plot | Table,2022-10-14 11:50:01.820158+11:00,NT
