Station Name,Time/Day,Height,Tendency,Crossing,Flood Class,Recent Data,Scraped,State
Cape Rivers (East),Cape Rivers (East),Cape Rivers (East),Cape Rivers (East),Cape Rivers (East),Cape Rivers (East),Cape Rivers (East),2022-10-13 14:24:34.630307+11:00,QLD
East Normanby R at Mulligan Hwy *,12.00pm Thu,1.30,steady,,,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Normanby R at Battle Camp *,12.00pm Thu,2.22,steady,,,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Laura R at Coalseam Ck *,12.00pm Thu,1.38,steady,2.12 below Bridge,,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Normanby R at Kalpowar Xing *,12.00pm Thu,1.48,steady,0.42 below Causeway,,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Hann R at Sandy Creek *,12.00pm Thu,0.50,steady,,,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Stewart R at Telegraph Rd *,12.00pm Thu,0.98,steady,,,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Pascoe R at Fall Ck *,12.00pm Thu,1.34,steady,,,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Pascoe R at Garraway Creek *,12.00pm Thu,1.73,steady,,,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Nicholson/Gregory,Nicholson/Gregory,Nicholson/Gregory,Nicholson/Gregory,Nicholson/Gregory,Nicholson/Gregory,Nicholson/Gregory,2022-10-13 14:24:34.630307+11:00,QLD
Mornington Island Tide *,12.41pm Thu,1.89,steady,1.98 below HAT,,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Gregory R at Riversleigh *,12.00pm Thu,1.55,steady,,below minor,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Gregory R at Gregory Downs *,12.00pm Thu,0.75,steady,8.55 below Bridge,below minor,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Burketown Tide *,12.39pm Thu,1.79,steady,2.70 below HAT,,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Leichhardt,Leichhardt,Leichhardt,Leichhardt,Leichhardt,Leichhardt,Leichhardt,2022-10-13 14:24:34.630307+11:00,QLD
Leichhardt R at Doughboy Ck *,12.00pm Thu,0.34,steady,,below minor,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Leichhardt R at Julius Dam *,12.00pm Thu,-1.37,steady,1.37 below Spillway,,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Leichhardt R at Miranda Creek *,12.00pm Thu,0.93,steady,,,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Gunpowder Ck at Gunpowder *,12.00pm Thu,0.15,steady,,below minor,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Leichhardt R at Floraville *,12.00pm Thu,0.53,steady,0.97 below Causeway,below minor,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Flinders,Flinders,Flinders,Flinders,Flinders,Flinders,Flinders,2022-10-13 14:24:34.630307+11:00,QLD
Flinders R at Whites Mountain *,12.00pm Thu,0.01,steady,,,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Flinders R at Glendower Crossing *,12.10pm Thu,0.76,steady,,,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Flinders R at Glenmoan Station *,12.00pm Thu,-0.02,steady,,,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Porcupine Ck at Mt Emu Plains *,12.00pm Thu,1.44,steady,,,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Flinders R at Marathon *,12.00pm Thu,0.00,steady,,below minor,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Flinders R at Richmond *,12.00pm Thu,0.67,steady,5.71 below Bridge,below minor,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
Flinders R at Punchbowl *,12.00pm Thu,0.97,steady,,,Plot | Table,2022-10-13 14:24:34.630307+11:00,QLD
