Station Name,Time/Day,Height,Tendency,Crossing,Flood Class,Recent Data,Scraped,State
Torrens,Torrens,Torrens,Torrens,Torrens,Torrens,Torrens,2022-10-17 09:28:27.703927+11:00,SA
Torrens R at Mt Pleasant (DEW),8.10am Mon,1.17,steady,0.17 above weir,,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
Torrens R at Mt Pleasant (SAW),8.35am Mon,1.17,steady,0.17 above weir,,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
Angas Ck at Muellers Rd,6.18am Mon,0.09,steady,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
Millers Ck at Forreston,8.34am Mon,0.10,steady,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
Torrens R at Gumeracha Weir (SAW),8.35am Mon,10.07,steady,0.07 above weir,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
Torrens R at Gumeracha Weir (BOM),7.20am Mon,10.03,steady,0.03 above weir,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
Cudlee Ck at Lobethal Rd,6.58am Mon,0.10,steady,0.10 above weir,,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
Millbrook Reservoir (SAW),8.35am Mon,23.89,steady,1.51 below spillway,,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
Torrens R DS Hollands Ck (DEW),8.00am Mon,1.28,steady,0.28 above weir,,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
Kangaroo Creek Resv Dam (SAW),8.35am Mon,44.01,steady,0.19 below spillway,,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
Sixth Ck at Castambul,7.58am Mon,0.28,steady,0.28 above weir,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
Torrens R at Gorge Weir,8.08am Mon,9.16,steady,0.84 below weir,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
Torrens R at Gorge Weir (SAW),8.35am Mon,9.19,steady,0.81 below weir,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
Fifth Ck at Athelstone,7.26am Mon,0.29,steady,,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
Second Ck at Stonyfell,6.13am Mon,0.07,steady,0.07 above weir,,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
Torrens R at Walkerville (DEW),8.05am Mon,1.40,steady,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
First Ck at Waterfall Gully Rd,7.21am Mon,0.42,steady,1.58 below bridge,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
First Ck at Botanic Gdns (DEW),8.05am Mon,1.07,steady,0.07 above weir,,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
Torrens R at Holbrooks Rd (DEW),8.00am Mon,1.38,steady,0.38 above weir,,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
Torrens R at Seaview Rd (DEW),8.00am Mon,0.25,steady,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
Port Adelaide,Port Adelaide,Port Adelaide,Port Adelaide,Port Adelaide,Port Adelaide,Port Adelaide,2022-10-17 09:28:27.703927+11:00,SA
Dry Ck at Valley View (DEW),8.00am Mon,1.06,steady,0.06 above weir,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
Dry Ck at Bridge Rd (DEW),7.50am Mon,1.09,steady,3.91 below bridge,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
Little Para Reservoir (SAW),8.35am Mon,12.30,steady,28.40 below spillway,,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
Little Para R US Fault (DEW),8.10am Mon,1.30,steady,0.30 above weir,,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
Tide level at Pt Adelaide (Osborne),8.06am Mon,2.22,steady,,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
Patawalonga,Patawalonga,Patawalonga,Patawalonga,Patawalonga,Patawalonga,Patawalonga,2022-10-17 09:28:27.703927+11:00,SA
Keswick Ck at Victoria Park,7.29am Mon,0.01,steady,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
Keswick Ck at Unley (Roberts Place),8.37am Mon,0.16,steady,,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
Keswick Ck at Army Barracks,8.17am Mon,0.31,rising,2.19 below bridge,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
Brownhill Ck at Mitcham (DEW),8.05am Mon,1.14,steady,0.14 above weir,,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
Brownhill Ck at Heywood Park,8.33am Mon,0.08,steady,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
Brownhill Ck at Adelaide Ap (DEW),8.10am Mon,0.12,steady,3.38 below bridge,,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
Sturt Ck at Coromandel Valley,6.46am Mon,0.17,steady,,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
Sturt Ck DS Minno Ck (DEW),8.05am Mon,1.16,steady,0.16 above weir,,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
Sturt Ck at Sturt Dam,8.24am Mon,0.14,rising,23.91 below spillway,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
Sturt Ck at Marion (Marion Rd),8.12am Mon,0.19,steady,,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
Sturt Ck at Novar Gardens (DEW),7.50am Mon,1.12,steady,0.06 above weir,,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
