Station Name,Time/Day,Height,Tendency,Crossing,Flood Class,Recent Data,Scraped,State
Murray,Murray,Murray,Murray,Murray,Murray,Murray,2022-10-13 21:50:01.794925+11:00,SA
R Murray at Wentworth (Lock 10),9.00pm Thu,31.80,steady,,below minor,Plot | Table,2022-10-13 21:50:01.794925+11:00,SA
R Murray US Lock 9 (DEW),8.05pm Thu,28.30,steady,,,Plot | Table,2022-10-13 21:50:01.794925+11:00,SA
R Murray DS Lock 9 (DEW),8.05pm Thu,28.29,steady,,,Plot | Table,2022-10-13 21:50:01.794925+11:00,SA
R Murray US Lock 8 (DEW),8.05pm Thu,26.36,steady,,,Plot | Table,2022-10-13 21:50:01.794925+11:00,SA
R Murray DS Lock 8 (DEW),8.05pm Thu,26.36,steady,,,Plot | Table,2022-10-13 21:50:01.794925+11:00,SA
Lake Victoria (DEW),8.05pm Thu,26.20,steady,,,Plot | Table,2022-10-13 21:50:01.794925+11:00,SA
R Murray US Lock 7 (DEW),8.05pm Thu,24.67,steady,,,Plot | Table,2022-10-13 21:50:01.794925+11:00,SA
R Murray DS Rufus River (DEW),9.00pm Thu,7.71,steady,,,Plot | Table,2022-10-13 21:50:01.794925+11:00,SA
R Murray US Lock 6 (DEW),8.05pm Thu,19.65,steady,,below minor,Plot | Table,2022-10-13 21:50:01.794925+11:00,SA
R Murray DS Lock 6 (DEW),8.05pm Thu,19.58,steady,,below minor,Plot | Table,2022-10-13 21:50:01.794925+11:00,SA
Chowilla DS Monoman Ck (DEW),8.00pm Thu,19.17,steady,,,Plot | Table,2022-10-13 21:50:01.794925+11:00,SA
R Murray US Lock 5 (DEW),8.05pm Thu,16.28,rising,,below minor,Plot | Table,2022-10-13 21:50:01.794925+11:00,SA
R Murray DS Lock 5 (DEW),8.05pm Thu,16.21,steady,,below minor,Plot | Table,2022-10-13 21:50:01.794925+11:00,SA
R Murray at Lyrup Pump Stn (DEW),7.00pm Thu,14.85,steady,,below minor,Plot | Table,2022-10-13 21:50:01.794925+11:00,SA
R Murray at Berri Pump Stn (DEW),8.05pm Thu,14.39,steady,,below minor,Plot | Table,2022-10-13 21:50:01.794925+11:00,SA
R Murray US Lock 4 (DEW),8.05pm Thu,14.02,rising,,below minor,Plot | Table,2022-10-13 21:50:01.794925+11:00,SA
R Murray DS Lock 4 (DEW),8.05pm Thu,13.96,steady,,below minor,Plot | Table,2022-10-13 21:50:01.794925+11:00,SA
R Murray at Loxton Pump Stn (DEW),6.00pm Thu,12.68,steady,,below minor,Plot | Table,2022-10-13 21:50:01.794925+11:00,SA
R Murray US Lock 3 (DEW),8.05pm Thu,9.82,rising,,below minor,Plot | Table,2022-10-13 21:50:01.794925+11:00,SA
R Murray DS Lock 3 (DEW),8.05pm Thu,9.67,steady,,below minor,Plot | Table,2022-10-13 21:50:01.794925+11:00,SA
R Murray US Overland Corner (DEW),8.05pm Thu,9.08,steady,,below minor,Plot | Table,2022-10-13 21:50:01.794925+11:00,SA
R Murray US Lock 2 (DEW),8.10pm Thu,6.93,falling,,below minor,Plot | Table,2022-10-13 21:50:01.794925+11:00,SA
R Murray DS Lock 2 (DEW),8.10pm Thu,6.92,steady,,below minor,Plot | Table,2022-10-13 21:50:01.794925+11:00,SA
R Murray US Lock 1 (DEW),8.05pm Thu,3.29,steady,,below minor,Plot | Table,2022-10-13 21:50:01.794925+11:00,SA
R Murray DS Lock 1 (DEW),8.05pm Thu,3.30,steady,,below minor,Plot | Table,2022-10-13 21:50:01.794925+11:00,SA
R Murray at Swan Reach 3km DS Ferry,8.10pm Thu,2.09,steady,,below minor,Plot | Table,2022-10-13 21:50:01.794925+11:00,SA
Marne River at Marne Gorge (DEW),6.55pm Thu,1.12,steady,0.12 above weir,,Plot | Table,2022-10-13 21:50:01.794925+11:00,SA
R Murray at Walker Flat (DEW),8.05pm Thu,1.37,steady,,below minor,Plot | Table,2022-10-13 21:50:01.794925+11:00,SA
R Murray at Mannum Wharf (DEW),8.05pm Thu,0.95,steady,,below minor,Plot | Table,2022-10-13 21:50:01.794925+11:00,SA
R Murray at Murray Bridge/Long Is.,8.05pm Thu,0.80,steady,,below minor,Plot | Table,2022-10-13 21:50:01.794925+11:00,SA
R Murray 2km DS Wellington ferry,8.10pm Thu,0.79,steady,,below minor,Plot | Table,2022-10-13 21:50:01.794925+11:00,SA
L Alexandrina at Milang Jetty (DEW),8.05pm Thu,0.67,steady,,below minor,Plot | Table,2022-10-13 21:50:01.794925+11:00,SA
Lake Albert at Meningie Jetty (DEW),8.05pm Thu,0.74,falling,,below minor,Plot | Table,2022-10-13 21:50:01.794925+11:00,SA
Goolwa Channel 2km West of Clayton,8.05pm Thu,0.62,steady,,below minor,Plot | Table,2022-10-13 21:50:01.794925+11:00,SA
Goolwa Channel DS Hindmarsh Bridge,8.05pm Thu,0.58,steady,3.42 below approaches,below minor,Plot | Table,2022-10-13 21:50:01.794925+11:00,SA
US Goolwa Barrage (DEW),8.05pm Thu,0.58,steady,,below minor,Plot | Table,2022-10-13 21:50:01.794925+11:00,SA
DS Goolwa Barrage (DEW),8.05pm Thu,0.06,steady,,below minor,Plot | Table,2022-10-13 21:50:01.794925+11:00,SA
Tauwitchere Barrage (DEW),8.05pm Thu,0.64,steady,,below minor,Plot | Table,2022-10-13 21:50:01.794925+11:00,SA
