Station Name,Time/Day,Height,Tendency,Crossing,Flood Class,Recent Data,Scraped,State
Murray,Murray,Murray,Murray,Murray,Murray,Murray,2022-10-17 09:28:27.703927+11:00,SA
R Murray at Wentworth (Lock 10),8.00am Mon,31.91,steady,,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
R Murray US Lock 9 (DEW),8.05am Mon,28.39,falling,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
R Murray DS Lock 9 (DEW),8.05am Mon,28.40,steady,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
R Murray US Lock 8 (DEW),8.05am Mon,26.48,steady,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
R Murray DS Lock 8 (DEW),8.05am Mon,26.46,steady,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
Lake Victoria (DEW),8.05am Mon,26.04,steady,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
R Murray US Lock 7 (DEW),8.05am Mon,24.68,steady,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
R Murray US Lock 6 (DEW),8.05am Mon,19.78,steady,,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
R Murray DS Lock 6 (DEW),8.05am Mon,19.70,steady,,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
Chowilla DS Monoman Ck (DEW),8.00am Mon,19.34,steady,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
R Murray US Lock 5 (DEW),8.05am Mon,16.42,rising,,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
R Murray DS Lock 5 (DEW),8.05am Mon,16.34,steady,,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
R Murray at Lyrup Pump Stn (DEW),7.00am Mon,15.01,steady,,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
R Murray at Berri Pump Stn (DEW),8.05am Mon,14.55,steady,,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
R Murray US Lock 4 (DEW),8.05am Mon,14.11,rising,,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
R Murray DS Lock 4 (DEW),8.05am Mon,14.08,steady,,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
R Murray at Loxton Pump Stn (DEW),6.00am Mon,12.80,steady,,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
R Murray US Lock 3 (DEW),8.05am Mon,9.87,rising,,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
R Murray DS Lock 3 (DEW),8.05am Mon,9.76,steady,,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
R Murray US Overland Corner (DEW),8.05am Mon,9.17,steady,,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
R Murray US Lock 2 (DEW),8.10am Mon,7.01,rising,,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
R Murray DS Lock 2 (DEW),8.10am Mon,6.96,steady,,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
R Murray US Lock 1 (DEW),8.05am Mon,3.33,falling,,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
R Murray DS Lock 1 (DEW),8.05am Mon,3.36,steady,,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
R Murray at Swan Reach 3km DS Ferry,8.10am Mon,2.17,steady,,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
Marne River at Marne Gorge (DEW),6.55am Mon,1.19,steady,0.19 above weir,,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
R Murray at Walker Flat (DEW),8.05am Mon,1.46,steady,,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
R Murray at Mannum Wharf (DEW),8.05am Mon,1.00,steady,,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
R Murray at Murray Bridge/Long Is.,8.05am Mon,0.83,steady,,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
R Murray 2km DS Wellington ferry,8.10am Mon,0.79,steady,,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
L Alexandrina at Milang Jetty (DEW),8.05am Mon,0.78,steady,,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
Lake Albert at Meningie Jetty (DEW),8.05am Mon,0.74,steady,,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
Goolwa Channel 2km West of Clayton,8.05am Mon,0.77,steady,,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
Goolwa Channel DS Hindmarsh Bridge,8.05am Mon,0.79,steady,3.21 below approaches,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
US Goolwa Barrage (DEW),8.05am Mon,0.78,steady,,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
DS Goolwa Barrage (DEW),8.05am Mon,0.31,steady,,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
Tauwitchere Barrage (DEW),8.05am Mon,0.77,steady,,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,SA
