Station Name,Time/Day,Height,Tendency,Flood Class,Recent Data,Scraped,State
Serpentine,Serpentine,Serpentine,Serpentine,Serpentine,Serpentine,2022-10-13 14:24:34.630307+11:00,WA
Big Brook at Oneil Road,10.00am Thu,0.11,steady,,Plot | Table,2022-10-13 14:24:34.630307+11:00,WA
Serpentine Drain at Dog Hill,11.00am Thu,0.12,steady,below minor,Plot | Table,2022-10-13 14:24:34.630307+11:00,WA
Punrack Drain at Yangedi Swamp,11.00am Thu,0.18,steady,,Plot | Table,2022-10-13 14:24:34.630307+11:00,WA
Nambeelup Brook at Kielman,11.00am Thu,0.13,steady,,Plot | Table,2022-10-13 14:24:34.630307+11:00,WA
Murray,Murray,Murray,Murray,Murray,Murray,2022-10-13 14:24:34.630307+11:00,WA
Crossman River at Rivendale,11.00am Thu,0.12,steady,below minor,Plot | Table,2022-10-13 14:24:34.630307+11:00,WA
Hotham River at Marradong Road Br,11.00am Thu,0.47,steady,below minor,Plot | Table,2022-10-13 14:24:34.630307+11:00,WA
Williams River at Saddleback Rd Br,11.00am Thu,0.47,steady,below minor,Plot | Table,2022-10-13 14:24:34.630307+11:00,WA
Murray River at Baden Powell Spout,10.00am Thu,0.85,steady,below minor,Plot | Table,2022-10-13 14:24:34.630307+11:00,WA
Marrinup Brook at Brookdale Siding,9.55am Thu,0.12,steady,below minor,Plot | Table,2022-10-13 14:24:34.630307+11:00,WA
Murray River at Pinjarra,11.00am Thu,0.25,steady,below minor,Plot | Table,2022-10-13 14:24:34.630307+11:00,WA
Harvey,Harvey,Harvey,Harvey,Harvey,Harvey,2022-10-13 14:24:34.630307+11:00,WA
Meredith Drain at Johnston Rd,10.55am Thu,0.22,steady,below minor,Plot | Table,2022-10-13 14:24:34.630307+11:00,WA
Harvey River at Dingo Road,10.00am Thu,0.43,steady,below minor,Plot | Table,2022-10-13 14:24:34.630307+11:00,WA
Harvey River at Old Bunbury Rd,11.00am Thu,0.14,steady,,Plot | Table,2022-10-13 14:24:34.630307+11:00,WA
Collie,Collie,Collie,Collie,Collie,Collie,2022-10-13 14:24:34.630307+11:00,WA
Collie River East at James Crossing,11.00am Thu,0.16,steady,below minor,Plot | Table,2022-10-13 14:24:34.630307+11:00,WA
Bingham River at Palmer,11.00am Thu,0.00,steady,,Plot | Table,2022-10-13 14:24:34.630307+11:00,WA
Collie River East at Coolangatta,11.00am Thu,0.22,steady,below minor,Plot | Table,2022-10-13 14:24:34.630307+11:00,WA
Collie River at Collie,11.00am Thu,0.87,steady,below minor,Plot | Table,2022-10-13 14:24:34.630307+11:00,WA
Collie River South at Collie,11.00am Thu,0.26,steady,below minor,Plot | Table,2022-10-13 14:24:34.630307+11:00,WA
Collie River at Mungalup Tower,11.00am Thu,0.42,steady,below minor,Plot | Table,2022-10-13 14:24:34.630307+11:00,WA
Hamilton River at Worsley,10.00am Thu,0.06,steady,,Plot | Table,2022-10-13 14:24:34.630307+11:00,WA
Collie River at Rose Road,11.00am Thu,0.21,steady,below minor,Plot | Table,2022-10-13 14:24:34.630307+11:00,WA
Brunswick River at Sandalwood,10.00am Thu,0.21,steady,,Plot | Table,2022-10-13 14:24:34.630307+11:00,WA
Wellesley River at Juegenup,9.45am Thu,0.62,steady,,Plot | Table,2022-10-13 14:24:34.630307+11:00,WA
Preston,Preston,Preston,Preston,Preston,Preston,2022-10-13 14:24:34.630307+11:00,WA
Thomson River at Woodperry,11.00am Thu,0.19,steady,,Plot | Table,2022-10-13 14:24:34.630307+11:00,WA
Preston River at Lowden Road Br,11.00am Thu,0.44,steady,,Plot | Table,2022-10-13 14:24:34.630307+11:00,WA
Preston River at Boyanup Bridge,11.00am Thu,0.30,steady,below minor,Plot | Table,2022-10-13 14:24:34.630307+11:00,WA
Ferguson River at Dowdells Road Br,11.00am Thu,0.20,steady,,Plot | Table,2022-10-13 14:24:34.630307+11:00,WA
Ferguson River at South Western Hwy,11.00am Thu,0.16,steady,below minor,Plot | Table,2022-10-13 14:24:34.630307+11:00,WA
Capel,Capel,Capel,Capel,Capel,Capel,2022-10-13 14:24:34.630307+11:00,WA
Capel River at Yates Bridge,11.00am Thu,0.20,steady,,Plot | Table,2022-10-13 14:24:34.630307+11:00,WA
Capel River at Railway Bridge,11.00am Thu,0.27,steady,,Plot | Table,2022-10-13 14:24:34.630307+11:00,WA
