Site,Site name,Lat,Lon,Rank
542023,Miles Alert,-26.6581,150.1808,1
41095,Stanthorpe Leslie Parade,-28.6617,151.9339,1
41096,Mt Kynoch,-27.5094,151.9547,1
41099,Tara Township,-27.2756,150.4617,1
41100,Texas Post Office,-28.8544,151.1681,1
41110,Turallin,-27.8314,151.1964,1
41112,Giddi Giddi South Tm,-28.4033,150.0517,1
41116,Wallangarra Post Office,-28.9231,151.9306,1
41120,Yangan Post Office,-28.1956,152.209,1
41124,Kilbronae Tm,-28.2817,150.3747,1
41092,Ballon Al,-26.4489,150.8925,1
41128,Wondalli,-28.5003,150.5866,1
41145,Marnhull,-26.8397,151.165,1
41152,Langley Tm,-27.9753,150.9225,1
41162,Bybera Tm,-28.2694,150.8106,1
41169,Kerimbilla Tm,-28.3911,150.4825,1
41175,Applethorpe,-28.6217,151.9533,1
41191,Victory Downs,-27.2627,151.3747,1
41198,Tingha,-27.1464,151.3033,1
41202,Talgai,-27.0203,151.7114,1
41212,Rosalie Plains,-27.2074,151.6764,1
41131,Cooranga North,-26.7733,151.3819,1
41229,Maryvale,-28.0775,152.2625,1
41091,Lauriedale,-26.8086,151.0806,1
41087,Riverton,-29.0314,151.4897,1
41018,Clifton Post Office,-27.9317,151.9058,1
41022,Dalveen,-28.4962,151.973,1
41025,Dunmore State Forest,-27.5758,151.08,1
41034,Glenelg,-28.4039,151.4703,1
41037,Goombungee Post Office,-27.3072,151.8506,1
41040,Greenmount Post Office,-27.7869,151.905,1
41042,Haden Post Office,-27.2242,151.8833,1
41046,The Head,-28.2818,152.4174,1
41047,Inglewood Post Office,-28.4147,151.0828,1
41090,Darr Creek Al,-26.5392,151.1347,1
41050,Jandowae Post Office,-26.7797,151.1111,1
41053,Jondaryan Post Office,-27.3675,151.5897,1
41056,Killarney Post Office,-28.3344,152.2953,1
41062,Laguna,-27.8083,151.3267,1
41063,Leyburn Post Office,-28.0106,151.5856,1
41069,Millmerran Post Office,-27.8742,151.2717,1
41075,Nobby Tooth St,-27.853,151.9023,1
41082,Pittsworth,-27.7228,151.6361,1
41083,Pratten,-28.0694,151.7797,1
41085,Queen Mary Falls,-28.3253,152.3942,1
41052,Jingi Jingi,-26.6928,151.0964,1
41017,Chinchilla Water Treatment Plant,-26.7438,150.6025,1
41250,Pampas,-27.7894,151.4133,1
41306,Tosari,-27.8628,151.4536,1
41489,Medpark Bridge Tm,-28.3011,150.2936,1
41491,Barongarook Tm,-28.4333,151.4667,1
41493,The Deep Crossing,-27.4931,150.4553,1
41495,Terraine Tm,-28.4828,151.2831,1
41503,Warwick (Scots College) Tm,-28.2167,152.05,1
41506,Bengalla Tm,-28.6561,150.6653,1
41507,New Kildonan Tm,-28.6656,150.445,1
41508,O'Connor Tm,-27.7267,150.6453,1
41509,Traighli,-27.6747,150.3525,1
41488,Ballymena Tm,-28.0522,150.1475,1
41512,Cooby Creek Dam,-27.3825,151.9244,1
41515,Felton Tm,-27.85,151.6833,1
41516,Allora Tm,-28.0333,152.0167,1
41519,Booba Sands Tm,-28.5767,150.845,1
41522,Dalby Airport,-27.1605,151.2634,1
41525,Warwick,-28.2061,152.1003,1
41529,Toowoomba Airport,-27.5425,151.9134,1
41530,Yangan Alert,-28.2006,152.2156,1
41531,Glengallan Creek Alert,-28.1167,152.0642,1
41532,Connolly Dam Alert,-28.3558,151.9967,1
41514,Leyburn Tm,-28.0333,151.5833,1
41291,Ehlma Park,-26.8736,150.8689,1
41486,Warra-Kogan Rd Br,-26.9575,150.8633,1
41473,Pratten Condamine River,-28.1022,151.8119,1
41323,Mandala,-28.0187,152.2861,1
41338,Ballandean Post Office,-28.8011,151.8421,1
41339,Loudoun Bridge,-27.2136,151.1858,1
41344,Karara,-28.2075,151.5608,1
41348,Wyaga Tm,-28.1667,150.6444,1
41358,Tipton Bridge,-27.4417,151.2567,1
41359,Oakey Aero,-27.4034,151.7413,1
41365,Pikedale Tm,-28.6514,151.6336,1
41368,Tartha,-27.7161,150.2244,1
531101,Chalumbin Tm,-17.783,145.5189,1
41369,Moyola,-27.5233,151.8819,1
41404,Ellangowan,-27.9583,151.6636,1
41405,Felton,-27.7952,151.7387,1
41415,Warahgai Tm,-28.2367,151.5347,1
41438,Silverwood Dam,-28.3527,152.0,1
41454,Girraween Nat Park,-28.8335,151.9374,1
41456,Cunninghams Gap National Park,-28.0621,152.3675,1
41464,Oakington,-28.1538,152.3311,1
41469,Macalister,-27.0289,151.0947,1
41472,Centenary Bridge,-27.8097,151.3619,1
41376,Warroo Station,-28.5389,151.3481,1
41533,Emu Vale Alert,-28.2292,152.2269,1
41011,Cambooya Post Office,-27.7072,151.865,1
41007,Brigalow Post Office,-26.8436,150.7892,1
40856,Rainbow Beach,-25.9007,153.0891,1
40861,Sunshine Coast Airport,-26.599,153.0912,1
40865,Cannon Cove Tm,-28.0936,152.7158,1
40867,Kalbar Tm,-27.9406,152.6236,1
40868,Mt Joseph Tm,-25.7417,152.2353,1
40874,Brisbane Road Alert,-27.6078,152.9083,1
40875,Bundamba School Alert,-27.6117,152.8064,1
40876,Wilsons Peak Alert,-28.2372,152.4867,1
40878,Waterford Alert,-27.6947,153.1364,1
40854,Logan City Water Treatment Plant,-27.6839,153.1947,1
40881,Air Sea Rescue Alert,-27.9525,153.4242,1
40886,Mt Binga,-27.0092,151.9847,1
40889,Oakwood Tm,-26.4472,152.4869,1
40891,Brooweena Tm,-25.6022,152.2603,1
40892,Mt Kanigan Al,-25.9575,152.5769,1
40893,Goomboorian Alert,-26.0642,152.7728,1
40896,Teddington Weir Hw Tm,-25.6517,152.6633,1
40902,Musket Flat Mt Alert,-25.4969,152.3836,1
40903,Pacific Haven Alert,-25.2386,152.5319,1
40904,Railway Bridge Alert,-25.2756,152.5089,1
40882,Numinbah Alert,-28.1653,153.2161,1
40905,Upper Cherwell Alert,-25.2928,152.4097,1
40850,Baroon Pocket Dam,-26.715,152.8719,1
40846,Clearview Alert,-28.0017,153.3083,1
40786,Jingle Downs Alert,-27.7456,152.9081,1
40788,Forestdale(Johnson Rd)Al,-27.6583,153.0,1
40790,Mt Gravatt Alert,-27.5467,153.0717,1
40793,Lyons Alert,-27.7633,152.8367,1
40794,Greenbank(Thompson Rd)Al,-27.6956,152.9333,1
40796,Beatty Road Alert,-27.5875,153.0094,1
40801,Kandanga Tm,-26.3878,152.6842,1
40816,Amberley (Dnrm) Tm,-27.6658,152.6989,1
40824,Fishermans Pocket Tm,-26.1711,152.5994,1
40848,Lower Springbrook Alert,-28.2069,153.2708,1
40825,Marodian Tm,-25.9,152.3497,1
40827,Ban Ban Tm,-25.7108,151.8083,1
40980,Deception Bay Alert,-27.1822,153.0186,1
40831,Ipswich Alert,-27.6117,152.7611,1
40832,Forest Home Tm,-28.2033,152.77,1
40833,Home Park Tm,-25.7683,152.525,1
40836,One Mile Bridge Alert,-27.6272,152.7461,1
40842,Brisbane Aero,-27.3917,153.1292,1
40844,Beechmont Alert,-28.1333,153.1899,1
40845,Binna Burra Alert,-28.2006,153.1872,1
40978,Bribie Island Alert,-27.0797,153.1803,1
41008,Bowenville,-27.3033,151.4931,1
40906,Lenthalls Dam Alert,-25.4019,152.5317,1
40908,Tewantin Rsl Park,-26.3911,153.0403,1
40948,Knapps Peak Alert,-28.1461,152.7358,1
40949,Boonah Alert,-28.0033,152.6875,1
40955,Springvale,-25.8197,152.1917,1
40958,Redcliffe,-27.2169,153.0922,1
40962,Ebbw Vale,-27.6053,152.8244,1
40964,Regents Park,-27.6696,153.0442,1
40965,Clontarf,-27.2442,153.0867,1
40969,Godwin Beach,-27.0717,153.1058,1
40976,Brisbane Botanic Gardens Mt Coot-Tha,-27.4753,152.9753,1
40947,Croftby Alert,-28.1481,152.57,1
40979,Morayfield (Petersen Rd) Alert,-27.1247,152.9356,1
40982,River Heads,-25.3967,152.9139,1
40983,Beaudesert Drumley Street,-27.9707,152.9898,1
40985,Bellbird Park (Purser Rd) Al,-27.6692,152.8731,1
40988,Nambour Daff - Hillside,-26.6442,152.9383,1
40993,Gympie Alert,-26.1925,152.655,1
40995,Noosaville,-26.4064,153.1025,1
40998,Caloundra Airport,-26.7979,153.1059,1
40999,Landsborough,-26.7892,152.9792,1
41005,Bell Police,-26.9344,151.4517,1
40981,Burleigh Waters Alert,-28.0792,153.4319,1
40907,Howard Alert,-25.3289,152.5619,1
40946,Rathdowney Alert,-28.2153,152.8681,1
40944,Rudds Lane Alert,-28.1692,152.9833,1
40912,Franklyn Vale Alert,-27.7597,152.47,1
40913,Brisbane,-27.4808,153.0389,1
40914,Mt Tarampa,-27.4942,152.4972,1
40922,Kingaroy Airport,-26.5737,151.8398,1
40924,Woodford Stanmore,-26.9028,152.7664,1
40928,Karalee,-27.5639,152.8208,1
40930,Laheys Lookout Alert,-27.9972,153.1825,1
40931,O'Reillys Alert,-28.2314,153.1356,1
40932,Darlington Alert,-28.2608,153.0917,1
40945,Round Mountain Alert,-28.0708,152.9272,1
40933,Foxley Alert,-28.27,153.0264,1
40935,Maclean Bridge Alert,-27.7864,153.0161,1
40936,Lumeah Alert,-28.0614,153.0408,1
40937,Benobble Alert,-27.9978,153.1575,1
40938,Bromfleet Alert,-27.9108,153.1047,1
40939,Beaudesert Alert,-27.9681,152.9861,1
40940,Yarrahappini Alert,-27.8336,152.9878,1
40941,Kooralbyn Alert,-28.0661,152.8532,1
40942,Palen Creek Alert,-28.3222,152.7697,1
40943,Dieckmans Bridge Alert,-28.2453,152.8908,1
40934,Romani Alert,-27.8464,152.9061,1
41534,Warwick Alert,-28.2111,152.0275,1
41535,Elbow Valley Alert,-28.3731,152.14,1
41536,Murrays Bridge Alert,-28.2883,152.1053,1
44228,Balmacarra,-25.478,146.0502,1
44229,Charleville Al,-26.4025,146.2378,1
44230,Binnowee Al,-26.4842,146.0861,1
44231,Myendetta Al,-26.5458,146.0167,1
44232,The 27 Mile Garden Al,-26.0808,146.4172,1
44234,Barradeen Al,-26.0419,146.4292,1
45003,South Comongin,-26.9011,144.3386,1
532076,Cluden Alert,-19.3114,146.8222,1
45005,Durham Downs,-27.0797,141.9078,1
44223,Derbyshire Downs,-25.4536,147.3031,1
45006,Eromanga - Webber St,-26.6694,143.27,1
45009,Ballera Gas Field,-27.4008,141.8114,1
45010,Mt Howitt,-26.5122,142.2731,1
45011,Mount Margaret,-26.8989,143.3381,1
45015,Quilpie Airport,-26.6125,144.2578,1
45018,Thylungra Station,-26.0853,143.4483,1
45022,Whynot Station,-26.6911,143.9047,1
45024,Nockatunga Station,-27.7217,142.7131,1
45025,Thargomindah Airport,-27.9867,143.815,1
45026,Woomanooka,-27.2506,142.1292,1
45007,Goombie,-26.1133,144.1333,1
45029,Orientos Station,-28.0722,141.5317,1
44212,Dunvegan Tm,-26.1236,146.6228,1
44210,Rocky,-28.4264,145.735,1
44137,Rosehill,-27.8717,148.0344,1
44138,Warida,-26.3567,147.405,1
44139,Kandimulla,-26.8928,147.8167,1
44143,Heather  Station,-28.0781,147.3981,1
44144,Homeboin,-27.6267,147.4453,1
44150,Kahmoo,-28.0964,145.5075,1
44152,Dingwall,-27.4633,146.8519,1
44153,Eulo,-28.1604,145.0463,1
44154,Whyenbah,-28.3875,148.3111,1
44211,Chesterton Tm,-25.3353,147.3,1
44157,Murweh,-27.0028,145.9433,1
44174,Wallen,-27.62,145.8281,1
44181,Hungerford (Paroo River),-28.9972,144.4094,1
44188,Authoringa,-26.6658,146.6083,1
44190,Lochinvar,-25.4697,146.8431,1
44191,Allambie,-26.9353,145.4408,1
44194,Nindigully,-28.3544,148.8217,1
44199,Wetlands,-25.5981,147.1289,1
44208,Warilda,-26.1394,145.6639,1
44209,Oakpark,-26.0581,146.1308,1
44168,Bayrick,-25.4636,146.0272,1
44133,Bogarella,-25.375,147.1072,1
45032,Plevna Downs,-26.6806,142.5942,1
45057,Noccundra Hotel,-27.818,142.59,1
