"Time","405753",
"and",100.00,
"Date","Mean","Qual"
00:00:00 03/01/1995,"",    255
00:00:00 04/01/1995,       0.402,      1
00:00:00 05/01/1995,       0.337,      1
00:00:00 06/01/1995,       0.267,      1
00:00:00 07/01/1995,       0.195,      1
00:00:00 08/01/1995,       0.151,      1
00:00:00 09/01/1995,       0.160,      1
00:00:00 10/01/1995,       0.244,      1
00:00:00 11/01/1995,       0.246,      1
00:00:00 12/01/1995,       0.228,      1
00:00:00 13/01/1995,       0.202,      1
00:00:00 14/01/1995,       0.198,      1
00:00:00 15/01/1995,       0.204,      1
00:00:00 16/01/1995,       0.202,      1
00:00:00 17/01/1995,       0.232,      1
00:00:00 18/01/1995,       0.238,      1
00:00:00 19/01/1995,       0.254,      1
00:00:00 20/01/1995,       0.270,      1
00:00:00 21/01/1995,       0.281,      1
00:00:00 22/01/1995,       0.272,      1
00:00:00 23/01/1995,       0.253,      1
00:00:00 24/01/1995,       0.272,      1
00:00:00 25/01/1995,       0.410,      1
00:00:00 26/01/1995,       0.366,      1
00:00:00 27/01/1995,       0.318,      1
00:00:00 28/01/1995,       0.275,      1
00:00:00 29/01/1995,       0.229,      1
00:00:00 30/01/1995,       0.226,      1
00:00:00 31/01/1995,       0.247,      1
00:00:00 01/02/1995,       0.217,      1
00:00:00 02/02/1995,       0.251,      1
00:00:00 03/02/1995,       0.274,      1
00:00:00 04/02/1995,       0.277,      1
00:00:00 05/02/1995,       0.242,      1
00:00:00 06/02/1995,       0.211,      1
00:00:00 07/02/1995,       0.205,      1
00:00:00 08/02/1995,       0.228,      1
00:00:00 09/02/1995,       0.285,      1
00:00:00 10/02/1995,       0.314,      1
00:00:00 11/02/1995,       0.310,      1
00:00:00 12/02/1995,       0.277,      1
00:00:00 13/02/1995,"",    255
00:00:00 14/02/1995,"",    255
00:00:00 15/02/1995,"",    255
00:00:00 16/02/1995,"",    255
00:00:00 17/02/1995,"",    255
00:00:00 18/02/1995,"",    255
00:00:00 19/02/1995,"",    255
00:00:00 20/02/1995,"",    255
00:00:00 21/02/1995,"",    255
00:00:00 22/02/1995,"",    255
00:00:00 23/02/1995,"",    255
00:00:00 24/02/1995,       0.288,      1
00:00:00 25/02/1995,       0.263,      1
00:00:00 26/02/1995,       0.251,      1
00:00:00 27/02/1995,       0.220,      1
00:00:00 28/02/1995,       0.206,      1
00:00:00 01/03/1995,       0.226,      1
00:00:00 02/03/1995,       0.259,      1
00:00:00 03/03/1995,       0.300,      1
00:00:00 04/03/1995,       0.301,      1
00:00:00 05/03/1995,       0.276,      1
00:00:00 06/03/1995,       0.257,      1
00:00:00 07/03/1995,       0.255,      1
00:00:00 08/03/1995,       0.217,      1
00:00:00 09/03/1995,       0.216,      1
00:00:00 10/03/1995,       0.199,      1
00:00:00 11/03/1995,       0.196,      1
00:00:00 12/03/1995,       0.165,      1
00:00:00 13/03/1995,       0.158,      1
00:00:00 14/03/1995,       0.182,      1
00:00:00 15/03/1995,       0.210,      1
00:00:00 16/03/1995,       0.216,      1
00:00:00 17/03/1995,       0.178,      1
00:00:00 18/03/1995,       0.167,      1
00:00:00 19/03/1995,       0.193,      1
00:00:00 20/03/1995,       0.186,      1
00:00:00 21/03/1995,       0.180,      1
00:00:00 22/03/1995,       0.168,     82
00:00:00 23/03/1995,       0.160,      1
00:00:00 24/03/1995,       0.174,      1
00:00:00 25/03/1995,       0.212,      1
00:00:00 26/03/1995,       0.189,      1
00:00:00 27/03/1995,       0.136,      1
00:00:00 28/03/1995,       0.132,      1
00:00:00 29/03/1995,       0.135,      1
00:00:00 30/03/1995,       0.171,      1
00:00:00 31/03/1995,       0.183,      1
00:00:00 01/04/1995,       0.197,      1
00:00:00 02/04/1995,       0.193,      1
00:00:00 03/04/1995,       0.186,      1
00:00:00 04/04/1995,       0.177,      1
00:00:00 05/04/1995,       0.170,      1
00:00:00 06/04/1995,       0.182,      1
00:00:00 07/04/1995,       0.205,      1
00:00:00 08/04/1995,       0.209,      1
00:00:00 09/04/1995,       0.185,      1
00:00:00 10/04/1995,       0.139,      1
00:00:00 11/04/1995,       0.095,     82
00:00:00 12/04/1995,       0.091,      1
00:00:00 13/04/1995,       0.069,      1
00:00:00 14/04/1995,       0.096,      1
00:00:00 15/04/1995,       0.112,      1
00:00:00 16/04/1995,       0.112,      1
00:00:00 17/04/1995,       0.226,      1
00:00:00 18/04/1995,       0.193,      1
00:00:00 19/04/1995,       0.145,      1
00:00:00 20/04/1995,       0.112,      1
00:00:00 21/04/1995,       0.121,      1
00:00:00 22/04/1995,       0.104,      1
00:00:00 23/04/1995,       0.129,      1
00:00:00 24/04/1995,       0.118,      1
00:00:00 25/04/1995,       0.105,      1
00:00:00 26/04/1995,       0.113,      1
00:00:00 27/04/1995,       0.110,      1
00:00:00 28/04/1995,       0.107,      1
00:00:00 29/04/1995,       0.130,      1
00:00:00 30/04/1995,       0.139,      1
00:00:00 01/05/1995,       0.229,      1
00:00:00 02/05/1995,       0.263,      1
00:00:00 03/05/1995,       0.234,      1
00:00:00 04/05/1995,       0.295,      1
00:00:00 05/05/1995,       0.331,      1
00:00:00 06/05/1995,       0.269,      1
00:00:00 07/05/1995,       0.202,      1
00:00:00 08/05/1995,       0.154,      1
00:00:00 09/05/1995,       0.118,      1
00:00:00 10/05/1995,       0.099,      1
00:00:00 11/05/1995,       0.099,      1
00:00:00 12/05/1995,       0.081,      1
00:00:00 13/05/1995,       0.398,      1
00:00:00 14/05/1995,       0.693,      1
00:00:00 15/05/1995,       0.622,      1
00:00:00 16/05/1995,       0.478,     82
00:00:00 17/05/1995,       0.455,      1
00:00:00 18/05/1995,       0.367,      1
00:00:00 19/05/1995,       0.263,      1
00:00:00 20/05/1995,       0.187,      1
00:00:00 21/05/1995,       0.142,      1
00:00:00 22/05/1995,       0.098,      1
00:00:00 23/05/1995,       0.082,      1
00:00:00 24/05/1995,       0.078,      1
00:00:00 25/05/1995,       0.084,      1
00:00:00 26/05/1995,       0.108,      1
00:00:00 27/05/1995,       0.139,      1
00:00:00 28/05/1995,       0.105,      1
00:00:00 29/05/1995,       0.069,      1
00:00:00 30/05/1995,       0.047,      1
00:00:00 31/05/1995,       0.037,      1
00:00:00 01/06/1995,       0.062,      1
00:00:00 02/06/1995,       0.056,      1
00:00:00 03/06/1995,       0.049,      1
00:00:00 04/06/1995,       0.082,      1
00:00:00 05/06/1995,       0.055,      1
00:00:00 06/06/1995,       0.101,      1
00:00:00 07/06/1995,       0.179,      1
00:00:00 08/06/1995,       0.401,      1
00:00:00 09/06/1995,       0.755,      1
00:00:00 10/06/1995,       0.899,      1
00:00:00 11/06/1995,       0.851,      1
00:00:00 12/06/1995,       0.740,      1
00:00:00 13/06/1995,       0.636,      1
00:00:00 14/06/1995,       0.566,      1
00:00:00 15/06/1995,       0.481,      1
00:00:00 16/06/1995,       0.355,      1
00:00:00 17/06/1995,       0.243,      1
00:00:00 18/06/1995,       0.153,      1
00:00:00 19/06/1995,       0.106,      1
00:00:00 20/06/1995,       0.068,      1
00:00:00 21/06/1995,       0.050,     82
00:00:00 22/06/1995,       0.043,      1
00:00:00 23/06/1995,       0.041,      1
00:00:00 24/06/1995,       0.058,      1
00:00:00 25/06/1995,       0.093,      1
00:00:00 26/06/1995,       0.096,      1
00:00:00 27/06/1995,       0.099,      1
00:00:00 28/06/1995,       0.095,      1
00:00:00 29/06/1995,       0.093,      1
00:00:00 30/06/1995,       0.106,      1
00:00:00 01/07/1995,       0.188,      1
00:00:00 02/07/1995,       0.173,      1
00:00:00 03/07/1995,       0.140,      1
00:00:00 04/07/1995,       0.098,      1
00:00:00 05/07/1995,       0.080,      1
00:00:00 06/07/1995,       0.070,      1
00:00:00 07/07/1995,       0.065,      1
00:00:00 08/07/1995,       0.064,      1
00:00:00 09/07/1995,       0.064,      1
00:00:00 10/07/1995,       0.068,      1
00:00:00 11/07/1995,       0.102,      1
00:00:00 12/07/1995,       0.577,      1
00:00:00 13/07/1995,       0.707,      1
00:00:00 14/07/1995,       0.782,      1
00:00:00 15/07/1995,       0.751,      1
00:00:00 16/07/1995,       0.631,      1
00:00:00 17/07/1995,       0.710,      1
00:00:00 18/07/1995,       0.845,      1
