Date,Mean,Qual,Cutoff,Site,City
1977-06-29,,151,1977-06-29,405270,shepparton
1977-06-30,1.615,1,1977-06-30,405270,shepparton
1977-01-07,4.154,1,1977-01-07,405270,shepparton
1977-02-07,7.454,1,1977-02-07,405270,shepparton
1977-03-07,8.386,1,1977-03-07,405270,shepparton
1977-04-07,7.855,1,1977-04-07,405270,shepparton
1977-05-07,6.466,1,1977-05-07,405270,shepparton
1977-06-07,5.302,1,1977-06-07,405270,shepparton
1977-07-07,4.685,1,1977-07-07,405270,shepparton
1977-08-07,4.546,1,1977-08-07,405270,shepparton
1977-09-07,4.537,1,1977-09-07,405270,shepparton
1977-10-07,4.427,1,1977-10-07,405270,shepparton
1977-11-07,4.276,1,1977-11-07,405270,shepparton
1977-12-07,4.122,1,1977-12-07,405270,shepparton
1977-07-13,3.963,1,1977-07-13,405270,shepparton
1977-07-14,3.769,1,1977-07-14,405270,shepparton
1977-07-15,3.625,1,1977-07-15,405270,shepparton
1977-07-16,3.636,1,1977-07-16,405270,shepparton
1977-07-17,4.738,1,1977-07-17,405270,shepparton
1977-07-18,5.755,1,1977-07-18,405270,shepparton
1977-07-19,5.625,1,1977-07-19,405270,shepparton
1977-07-20,5.09,1,1977-07-20,405270,shepparton
1977-07-21,4.695,1,1977-07-21,405270,shepparton
1977-07-22,4.527,1,1977-07-22,405270,shepparton
1977-07-23,4.411,1,1977-07-23,405270,shepparton
1977-07-24,4.276,1,1977-07-24,405270,shepparton
1977-07-25,4.077,1,1977-07-25,405270,shepparton
1977-07-26,3.901,1,1977-07-26,405270,shepparton
1977-07-27,4.302,1,1977-07-27,405270,shepparton
1977-07-28,5.514,1,1977-07-28,405270,shepparton
1977-07-29,6.855,1,1977-07-29,405270,shepparton
1977-07-30,7.234,1,1977-07-30,405270,shepparton
1977-07-31,6.949,1,1977-07-31,405270,shepparton
1977-01-08,6.559,1,1977-01-08,405270,shepparton
1977-02-08,6.192,1,1977-02-08,405270,shepparton
1977-03-08,5.939,1,1977-03-08,405270,shepparton
1977-04-08,5.666,1,1977-04-08,405270,shepparton
1977-05-08,5.327,1,1977-05-08,405270,shepparton
1977-06-08,5.025,1,1977-06-08,405270,shepparton
1977-07-08,4.638,1,1977-07-08,405270,shepparton
1977-08-08,4.268,1,1977-08-08,405270,shepparton
1977-09-08,4.036,1,1977-09-08,405270,shepparton
1977-10-08,3.931,1,1977-10-08,405270,shepparton
1977-11-08,3.549,1,1977-11-08,405270,shepparton
1977-12-08,2.893,1,1977-12-08,405270,shepparton
1977-08-13,2.112,1,1977-08-13,405270,shepparton
1977-08-14,1.599,1,1977-08-14,405270,shepparton
1977-08-15,1.439,1,1977-08-15,405270,shepparton
1977-08-16,1.758,1,1977-08-16,405270,shepparton
1977-08-17,2.043,1,1977-08-17,405270,shepparton
1977-08-18,1.819,1,1977-08-18,405270,shepparton
1977-08-19,1.785,1,1977-08-19,405270,shepparton
1977-08-20,2.13,1,1977-08-20,405270,shepparton
