attributes.bom_stn_num,attributes.name,attributes.lat,attributes.long,attributes.state,attributes.location_types,attributes.basin
46012,Wilcannia Aerodrome Aws,-31.5194,143.385,NSW,rain gauge;,Paroo River
46043,Wilcannia (Reid St),-31.5631,143.3747,NSW,rain gauge;,Darling River
46115,Trevallyn,-31.3885,144.0422,NSW,rain gauge;,Darling River
46126,Tibooburra Airport,-29.4448,142.0567,NSW,rain gauge;,Bulloo River
46128,Fowlers Gap Aws,-31.0863,141.7008,NSW,rain gauge;,Lake Bancannia
46129,White Cliffs Aws,-30.8522,143.0743,NSW,rain gauge;,Paroo River
46136,Borrona Downs Aws,-29.7614,143.1135,NSW,rain gauge;,Bulloo River
46137,Boullia,-30.0708,141.8795,NSW,rain gauge;,Lake Bancannia
46138,Cawnalmurtee,-30.5807,143.3528,NSW,rain gauge;,Paroo River
46139,Grasmere,-31.4198,142.6258,NSW,rain gauge;,Darling River
46140,Mt Jack,-30.8693,143.7085,NSW,rain gauge;,Paroo River
46141,Mount Woowoolarah,-31.2554,141.2389,NSW,rain gauge;,Lake Frome
46142,Smithville Aws,-30.0692,141.0067,NSW,rain gauge;,Lake Frome
46143,Westwood Downs,-30.496,141.3335,NSW,rain gauge;,Lake Frome
46144,Winnathee,-29.751,141.1105,NSW,rain gauge;,Lake Frome
47000,Gum Lake (Albemarle),-32.5271,143.371,NSW,rain gauge;,Darling River
47019,Menindee Post Office,-32.3937,142.4173,NSW,rain gauge;,Darling River
47029,Pooncarie Mail Agency,-33.3856,142.5696,NSW,rain gauge;,Darling River
47040,Wamberra Station,-33.9297,142.3572,NSW,rain gauge;,Darling River
47045,Wentworth (Willow Point),-33.3326,141.7716,NSW,rain gauge;,Darling River
47048,Broken Hill Airport Aws,-32.0012,141.4694,NSW,rain gauge;,Darling River
47053,Wentworth Post Office,-34.1065,141.9189,NSW,rain gauge;,Darling River
47093,Wentworth (Burtundy),-33.7492,142.2205,NSW,rain gauge;,Darling River
47106,Pooncarie (Karoola),-32.9262,142.3791,NSW,rain gauge;,Darling River
47108,Burndoo,-32.0679,143.65,NSW,rain gauge;,Darling River
47109,Inkerman,-31.9772,142.153,NSW,rain gauge;,Darling River
47110,Nelia Gaari,-32.0079,142.8181,NSW,rain gauge;,Darling River
47111,Nulla,-33.8218,141.3592,NSW,rain gauge;,Lower Murray River
47112,Overnewton,-32.9416,143.5386,NSW,rain gauge;,Darling River
47113,Mulurulu Aws,-33.3392,143.4,NSW,rain gauge;,Benanee
47114,Tandou,-32.7107,142.1115,NSW,rain gauge;,Darling River
48015,Brewarrina Hospital,-29.9614,146.8651,NSW,rain gauge;,Macquarie-Bogan Rivers
48027,Cobar Mo,-31.484,145.8294,NSW,rain gauge;,Darling River
48031,Collarenebri (Albert St),-29.5406,148.5817,NSW,rain gauge;,Condamine-Culgoa Rivers
48038,Collarenebri (Dunumbral),-29.4484,148.2499,NSW,rain gauge;,Condamine-Culgoa Rivers
48039,Enngonia (Shearer Street),-29.3174,145.8466,NSW,rain gauge;water level gauge;model point;,Warrego River
48052,Collerina (Kenebree),-29.7701,146.5157,NSW,rain gauge;water level gauge;model point;,Condamine-Culgoa Rivers
48079,Wanaaring Post Office,-29.7029,144.1484,NSW,rain gauge;,Paroo River
36046,Tiree,-21.6291,145.1166,QLD,rain gauge;,Cooper Creek
48168,Angledool (Angledool Station),-29.1173,147.8993,NSW,rain gauge;water level gauge;model point;,Condamine-Culgoa Rivers
48243,Lightning Ridge Visitor Information Centre,-29.431,147.9722,NSW,rain gauge;,Condamine-Culgoa Rivers
48245,Bourke Airport Aws,-30.0362,145.9521,NSW,rain gauge;,Warrego River
48246,Burrawantie,-29.1544,145.4066,NSW,rain gauge;,Paroo River
48247,Delta Aws,-30.1006,145.3338,NSW,rain gauge;,Warrego River
48248,Gumbooka,-29.7859,146.2857,NSW,rain gauge;,Condamine-Culgoa Rivers
48249,Knightvale,-30.4864,146.3283,NSW,rain gauge;,Darling River
48250,Noona Aws,-31.7267,144.9313,NSW,rain gauge;,Darling River
49000,Ivanhoe Aerodrome Aws,-32.8833,144.3092,NSW,rain gauge;,Lachlan River
49117,Nymagee (Balowra),-32.248,146.4855,NSW,rain gauge;,Macquarie-Bogan Rivers
49135,Killala,-31.9945,145.9736,NSW,rain gauge;,Darling River
49136,Mount Hope Aws,-32.8261,145.8801,NSW,rain gauge;,Lachlan River
49137,Waiko,-32.8323,144.4645,NSW,rain gauge;,Lachlan River
50016,Goonumbla (Coradgery),-32.9744,148.0632,NSW,rain gauge;,Macquarie-Bogan Rivers
50017,West Wyalong Airport Aws,-33.9382,147.1962,NSW,rain gauge;,Lachlan River
50031,Peak Hill Post Office,-32.7235,148.1902,NSW,rain gauge;,Macquarie-Bogan Rivers
50035,Tottenham (Umang St),-32.2435,147.3552,NSW,rain gauge;,Macquarie-Bogan Rivers
50037,Tullamore (Kitchener St),-32.6345,147.5666,NSW,rain gauge;,Macquarie-Bogan Rivers
50119,Alectown (Vanvilla),-32.9368,148.2447,NSW,rain gauge;,Macquarie-Bogan Rivers
50125,Bobadah (Pretty View),-32.3108,146.6723,NSW,rain gauge;,Macquarie-Bogan Rivers
50137,Condobolin Airport Aws,-33.0682,147.2133,NSW,rain gauge;,Lachlan River
51008,Wyanga (Quambi),-32.4577,148.1491,NSW,rain gauge;,Macquarie-Bogan Rivers
51033,Nyngan (Mudall),-31.8576,147.1343,NSW,rain gauge;,Macquarie-Bogan Rivers
51039,Nyngan Airport,-31.5495,147.1961,NSW,rain gauge;,Macquarie-Bogan Rivers
51049,Trangie Research Station Aws,-31.9861,147.9489,NSW,rain gauge;,Macquarie-Bogan Rivers
51057,Marra Creek (Womboin),-30.6998,147.2232,NSW,rain gauge;,Macquarie-Bogan Rivers
51160,Gilgandra (Rosewood),-31.7042,148.6283,NSW,rain gauge;,Macquarie-Bogan Rivers
51161,Coonamble Airport Aws,-30.9776,148.3798,NSW,rain gauge;,Castlereagh River
51162,Brewon Aws,-30.2411,147.5327,NSW,rain gauge;,Macquarie-Bogan Rivers
51163,Keveline,-30.4934,147.9422,NSW,rain gauge;,Castlereagh River
51164,Girilambone (Okeh) Aws,-31.0824,146.9296,NSW,rain gauge;,Macquarie-Bogan Rivers
52019,Mogil Mogil (Benimora),-29.3541,148.6895,NSW,rain gauge;,Condamine-Culgoa Rivers
52020,Mungindi Post Office,-28.9786,148.9899,NSW,rain gauge;,Border Rivers
52057,Crinolyn,-29.2403,149.1265,NSW,rain gauge;,Gwydir River
52067,Rowena Post Office,-29.8131,148.9111,NSW,rain gauge;,Gwydir River
52088,Walgett Airport Aws,-30.0372,148.1223,NSW,rain gauge;,Namoi River
53002,Baradine Forestry,-30.9469,149.0654,NSW,rain gauge;,Namoi River
53011,Garah Post Office,-29.0745,149.6347,NSW,rain gauge;,Border Rivers
53108,Terry Hie Hie,-29.7913,150.1503,NSW,rain gauge;,Gwydir River
53114,Rocky Glen (Borah Station),-31.0067,149.5459,NSW,rain gauge;,Namoi River
53115,Moree Aero,-29.4898,149.8471,NSW,rain gauge;,Gwydir River
54003,Barraba (Clifton Lane),-30.3833,150.6083,NSW,rain gauge;,Namoi River
54004,Bingara Post Office,-29.8673,150.5715,NSW,rain gauge;,Gwydir River
54013,Delungra Post Office,-29.654,150.8291,NSW,rain gauge;,Gwydir River
54021,Barraba (Mount Lindsay),-30.3209,150.2734,NSW,rain gauge;,Gwydir River
54029,Warialda Post Office,-29.5416,150.5754,NSW,rain gauge;,Gwydir River
54038,Narrabri Airport Aws,-30.3154,149.8302,NSW,rain gauge;,Namoi River
54039,Bingara (Keera),-29.9943,150.7812,NSW,rain gauge;,Gwydir River
54065,Nullamanna (Silverdale),-29.605,151.267,NSW,rain gauge;,Border Rivers
54076,Kings Plains (Windermere),-29.64,151.4297,NSW,rain gauge;,Border Rivers
54104,Pindari Dam,-29.3899,151.2448,NSW,rain gauge;,Border Rivers
54105,Bundarra (Granite Heights),-30.3354,150.9338,NSW,rain gauge;,Namoi River
54121,Bukkulla (Rfs),-29.5045,151.1293,NSW,rain gauge;,Border Rivers
54138,Upper Horton (Dunbeacon),-30.156,150.3889,NSW,rain gauge;,Gwydir River
54141,Gravesend Rd Bdg (Gwydir River),-29.5833,150.37,NSW,rain gauge;water level gauge;model point;,Gwydir River
54146,Haystack (Beardy River),-29.2333,151.3833,NSW,rain gauge;water level gauge;model point;,Border Rivers
54151,Narrabri (Mt Kaputar National Park),-30.2838,150.1666,NSW,rain gauge;,Namoi River
54153,Caroda (Paleroo),-30.1186,150.13,NSW,rain gauge;,Gwydir River
55006,Blackville Post Office,-31.6405,150.2356,NSW,rain gauge;,Namoi River
55038,Mullaley Post Office,-31.0976,149.9114,NSW,rain gauge;,Namoi River
55046,Pine Ridge (Billabong),-31.5294,150.4356,NSW,rain gauge;,Namoi River
55082,Manilla (Warrabah),-30.4702,150.9539,NSW,rain gauge;,Namoi River
55164,Weabonga (Stoneleigh),-31.1805,151.3031,NSW,rain gauge;,Namoi River
55202,Gunnedah Airport Aws,-30.9537,150.2494,NSW,rain gauge;,Namoi River
55245,Nundle (Keeva),-31.5008,151.0271,NSW,rain gauge;,Namoi River
55257,Duri (Dungowan Rd),-31.2191,150.8228,NSW,rain gauge;,Namoi River
55262,Ogunbil (Amaroo),-31.3505,151.3177,NSW,rain gauge;,Namoi River
55308,Bendemeer (Bonna),-30.8829,151.1619,NSW,rain gauge;,Namoi River
55309,Glendower Mountain (Leconfield),-31.1457,151.232,NSW,rain gauge;,Namoi River
55312,Manilla (Museum),-30.7465,150.7208,NSW,rain gauge;,Namoi River
55313,Goonoo Goonoo (Goonoo Goonoo Creek),-31.2717,150.9167,NSW,rain gauge;water level gauge;model point;,Namoi River
55321,Mulla Crossing (Cockburn River),-31.0625,151.125,NSW,rain gauge;water level gauge;model point;,Namoi River
55322,Mount Sandon,-31.3872,151.4121,NSW,rain gauge;,Namoi River
55325,Tamworth Airport Aws,-31.0742,150.8362,NSW,rain gauge;,Namoi River
55335,Nundle (Malonga),-31.5347,151.1806,NSW,rain gauge;,Namoi River
55336,Nundle (Head Of The Peel),-31.5986,151.1414,NSW,rain gauge;,Namoi River
55337,Crawney Mountain,-31.5873,150.995,NSW,rain gauge;,Namoi River
56006,Bundarra Post Office,-30.1711,151.0757,NSW,rain gauge;,Gwydir River
56009,Emmaville Post Office,-29.4445,151.5987,NSW,rain gauge;,Border Rivers
56013,Glen Innes Ag Research Stn,-29.6952,151.6935,NSW,rain gauge;,Border Rivers
56018,Inverell Research Centre,-29.7752,151.082,NSW,rain gauge;,Border Rivers
56032,Tenterfield (Federation Park),-29.0479,152.0172,NSW,rain gauge;,Border Rivers
56033,Tingha Post Office,-29.9546,151.2111,NSW,rain gauge;,Gwydir River
56034,Uralla (Dumaresq St),-30.6437,151.4906,NSW,rain gauge;,Gwydir River
56038,Wylie Creek (Aloomba),-28.5529,152.1577,NSW,rain gauge;,Clarence River
56111,Elsmore (Danthonia),-29.7828,151.3617,NSW,rain gauge;,Border Rivers
56128,Swan Vale (Numeralla),-29.8265,151.5207,NSW,rain gauge;,Border Rivers
56139,Ben Lomond (Koala),-29.9465,151.6066,NSW,rain gauge;,Border Rivers
56161,Guyra (Gowan Brae),-30.1559,151.8764,NSW,rain gauge;,Clarence River
56199,Wylie Creek (Burrenbar),-28.5598,152.1212,NSW,rain gauge;,Clarence River
56234,Walcha (Thee St),-30.9874,151.5855,NSW,rain gauge;,Macleay River
56237,Elsmore Village,-29.8025,151.2726,NSW,rain gauge;,Border Rivers
56238,Armidale Airport Aws,-30.5273,151.6158,NSW,rain gauge;,Macleay River
56240,Guyra (Box Point),-30.3299,151.7342,NSW,rain gauge;,Macleay River
56242,Inverell (Raglan St),-29.7796,151.1121,NSW,rain gauge;,Border Rivers
56243,Glen Innes Airport Aws,-29.678,151.694,NSW,rain gauge;,Border Rivers
56245,Ben Lomond (Beulah),-29.9594,151.605,NSW,rain gauge;,Gwydir River
57005,Drake (Village Resource Centre),-28.9279,152.3759,NSW,rain gauge;,Clarence River
57014,Glen Elgin (Glenbrook),-29.5577,152.1388,NSW,rain gauge;,Clarence River
57018,Tabulam Post Office,-28.8914,152.5663,NSW,rain gauge;,Clarence River
57020,Urbenville,-28.473,152.546,NSW,rain gauge;,Clarence River
57045,Tia (Highrent),-31.1893,151.8551,NSW,rain gauge;,Macleay River
57079,Wollomombi (Wollomombi River),-30.5178,152.0431,NSW,rain gauge;water level gauge;,Macleay River
57091,Uralla (Blue Nobby),-30.7167,151.8531,NSW,rain gauge;,Macleay River
57095,Tabulam (Muirne),-28.7551,152.4507,NSW,rain gauge;,Clarence River
57104,Yarrowitch (Maretto),-31.2739,151.9655,NSW,rain gauge;,Macleay River
57114,Baryulgil (Clarence River),-29.1967,152.595,NSW,rain gauge;water level gauge;model point;,Clarence River
57123,Newton Boyd (Abbey Green),-29.7603,152.2057,NSW,rain gauge;,Clarence River
57124,Point Lookout,-30.4816,152.3977,NSW,rain gauge;,Macleay River
58005,Brays Creek (Misty Mountain),-28.3981,153.1731,NSW,rain gauge;,Tweed River
58011,Chillingham,-28.3146,153.275,NSW,rain gauge;water level gauge;model point;,Tweed River
58012,Yamba Pilot Station,-29.4325,153.3632,NSW,rain gauge;,Clarence River
58019,Doon Doon (Mccabes Road),-28.5314,153.3151,NSW,rain gauge;,Tweed River
58028,Coaldale (Bellona),-29.3842,152.7936,NSW,rain gauge;,Clarence River
58068,Lawrence Road (Pringles Way),-29.4133,153.0153,NSW,rain gauge;,Clarence River
58077,Grafton Research Stn,-29.6224,152.9605,NSW,rain gauge;,Clarence River
58079,Pillar Valley,-29.7504,153.1051,NSW,rain gauge;,Clarence River
58099,Whiporie Post Office,-29.2823,152.9886,NSW,rain gauge;,Richmond River
58113,Green Pigeon (Morning View),-28.4738,153.0861,NSW,rain gauge;,Richmond River
58129,Kunghur (The Junction),-28.4696,153.2532,NSW,rain gauge;,Tweed River
58141,Loadstone (High View),-28.4119,152.9827,NSW,rain gauge;,Richmond River
58147,The Channon,-28.6792,153.2775,NSW,rain gauge;water level gauge;model point;,Richmond River
58148,Lillian Rock (Williams Road),-28.5276,153.1519,NSW,rain gauge;,Richmond River
58158,Murwillumbah (Bray Park),-28.3395,153.3809,NSW,rain gauge;,Tweed River
58162,Nashua (Wilsons River),-28.7278,153.4622,NSW,rain gauge;water level gauge;model point;,Richmond River
58167,Uki (Tweed River),-28.4147,153.3339,NSW,rain gauge;water level gauge;model point;,Tweed River
58180,Nimbin (Goolmangar Creek),-28.6069,153.2083,NSW,rain gauge;water level gauge;model point;,Richmond River
58186,North Murwillumbah (Tweed River),-28.3274,153.402,NSW,rain gauge;water level gauge;model point;,Tweed River
58193,Eungella (Oxley River),-28.3538,153.293,NSW,rain gauge;water level gauge;model point;,Tweed River
58194,Dairy Flat,-28.3811,152.7174,NSW,rain gauge;,Richmond River
58198,Ballina Airport Aws,-28.8353,153.5585,NSW,rain gauge;,Richmond River
58199,Rock Valley (Leycester Creek),-28.7364,153.1634,NSW,rain gauge;water level gauge;model point;,Richmond River
58201,Tuncester (Leycester Creek),-28.7967,153.2386,NSW,rain gauge;water level gauge;model point;,Richmond River
59138,Bowra Sugarloaf,-30.6623,152.6535,NSW,rain gauge;,Bellinger River
58202,Bentley (Back Creek),-28.7406,153.075,NSW,rain gauge;water level gauge;model point;,Richmond River
58204,Boat Harbour (Rous River),-28.3217,153.3467,NSW,rain gauge;water level gauge;,Tweed River
