Date,Mean,Qual,Cutoff,Site
2022-01-01 00:00:00,0.697,2,2022-01-01,405325
2022-01-01 01:00:00,0.697,2,2022-01-01,405325
2022-01-01 02:00:00,0.697,2,2022-01-01,405325
2022-01-01 03:00:00,0.698,2,2022-01-01,405325
2022-01-01 04:00:00,0.696,2,2022-01-01,405325
2022-01-01 05:00:00,0.695,2,2022-01-01,405325
2022-01-01 06:00:00,0.692,2,2022-01-01,405325
2022-01-01 07:00:00,0.689,2,2022-01-01,405325
2022-01-01 08:00:00,0.685,2,2022-01-01,405325
2022-01-01 09:00:00,0.685,2,2022-01-01,405325
2022-01-01 10:00:00,0.683,2,2022-01-01,405325
2022-01-01 11:00:00,0.678,2,2022-01-01,405325
2022-01-01 12:00:00,0.675,2,2022-01-01,405325
2022-01-01 13:00:00,0.674,2,2022-01-01,405325
2022-01-01 14:00:00,0.675,2,2022-01-01,405325
2022-01-01 15:00:00,0.675,2,2022-01-01,405325
2022-01-01 16:00:00,0.675,2,2022-01-01,405325
2022-01-01 17:00:00,0.674,2,2022-01-01,405325
2022-01-01 18:00:00,0.673,2,2022-01-01,405325
2022-01-01 19:00:00,0.673,2,2022-01-01,405325
2022-01-01 20:00:00,0.673,2,2022-01-01,405325
2022-01-01 21:00:00,0.674,2,2022-01-01,405325
2022-01-01 22:00:00,0.674,2,2022-01-01,405325
2022-01-01 23:00:00,0.676,2,2022-01-01,405325
2022-02-01 00:00:00,0.676,2,2022-02-01,405325
2022-02-01 01:00:00,0.676,2,2022-02-01,405325
2022-02-01 02:00:00,0.676,2,2022-02-01,405325
2022-02-01 03:00:00,0.676,2,2022-02-01,405325
2022-02-01 04:00:00,0.673,2,2022-02-01,405325
2022-02-01 05:00:00,0.67,2,2022-02-01,405325
2022-02-01 06:00:00,0.666,2,2022-02-01,405325
2022-02-01 07:00:00,0.662,2,2022-02-01,405325
2022-02-01 08:00:00,0.659,2,2022-02-01,405325
2022-02-01 09:00:00,0.657,2,2022-02-01,405325
2022-02-01 10:00:00,0.655,2,2022-02-01,405325
2022-02-01 11:00:00,0.655,2,2022-02-01,405325
2022-02-01 12:00:00,0.655,2,2022-02-01,405325
2022-02-01 13:00:00,0.653,2,2022-02-01,405325
2022-02-01 14:00:00,0.652,2,2022-02-01,405325
2022-02-01 15:00:00,0.65,2,2022-02-01,405325
2022-02-01 16:00:00,0.65,2,2022-02-01,405325
2022-02-01 17:00:00,0.651,2,2022-02-01,405325
2022-02-01 18:00:00,0.65,2,2022-02-01,405325
2022-02-01 19:00:00,0.65,2,2022-02-01,405325
2022-02-01 20:00:00,0.652,2,2022-02-01,405325
2022-02-01 21:00:00,0.652,2,2022-02-01,405325
2022-02-01 22:00:00,0.655,2,2022-02-01,405325
2022-02-01 23:00:00,0.658,2,2022-02-01,405325
2022-03-01 00:00:00,0.66,2,2022-03-01,405325
2022-03-01 01:00:00,0.66,2,2022-03-01,405325
2022-03-01 02:00:00,0.661,2,2022-03-01,405325
2022-03-01 03:00:00,0.661,2,2022-03-01,405325
2022-03-01 04:00:00,0.66,2,2022-03-01,405325
2022-03-01 05:00:00,0.658,2,2022-03-01,405325
2022-03-01 06:00:00,0.655,2,2022-03-01,405325
2022-03-01 07:00:00,0.653,2,2022-03-01,405325
2022-03-01 08:00:00,0.651,2,2022-03-01,405325
2022-03-01 09:00:00,0.65,2,2022-03-01,405325
2022-03-01 10:00:00,0.65,2,2022-03-01,405325
2022-03-01 11:00:00,0.651,2,2022-03-01,405325
2022-03-01 12:00:00,0.65,2,2022-03-01,405325
2022-03-01 13:00:00,0.649,2,2022-03-01,405325
2022-03-01 14:00:00,0.646,2,2022-03-01,405325
2022-03-01 15:00:00,0.645,2,2022-03-01,405325
2022-03-01 16:00:00,0.646,2,2022-03-01,405325
2022-03-01 17:00:00,0.646,2,2022-03-01,405325
2022-03-01 18:00:00,0.645,2,2022-03-01,405325
2022-03-01 19:00:00,0.645,2,2022-03-01,405325
2022-03-01 20:00:00,0.646,2,2022-03-01,405325
2022-03-01 21:00:00,0.647,2,2022-03-01,405325
2022-03-01 22:00:00,0.648,2,2022-03-01,405325
2022-03-01 23:00:00,0.65,2,2022-03-01,405325
2022-04-01 00:00:00,0.651,2,2022-04-01,405325
2022-04-01 01:00:00,0.649,2,2022-04-01,405325
2022-04-01 02:00:00,0.651,2,2022-04-01,405325
2022-04-01 03:00:00,0.652,2,2022-04-01,405325
2022-04-01 04:00:00,0.651,2,2022-04-01,405325
2022-04-01 05:00:00,0.649,2,2022-04-01,405325
2022-04-01 06:00:00,0.648,2,2022-04-01,405325
2022-04-01 07:00:00,0.646,2,2022-04-01,405325
2022-04-01 08:00:00,0.646,2,2022-04-01,405325
2022-04-01 09:00:00,0.646,2,2022-04-01,405325
2022-04-01 10:00:00,0.645,2,2022-04-01,405325
2022-04-01 11:00:00,0.645,2,2022-04-01,405325
2022-04-01 12:00:00,0.644,2,2022-04-01,405325
2022-04-01 13:00:00,0.646,2,2022-04-01,405325
2022-04-01 14:00:00,0.648,2,2022-04-01,405325
2022-04-01 15:00:00,0.646,2,2022-04-01,405325
2022-04-01 16:00:00,0.646,2,2022-04-01,405325
2022-04-01 17:00:00,0.646,2,2022-04-01,405325
2022-04-01 18:00:00,0.643,2,2022-04-01,405325
2022-04-01 19:00:00,0.64,2,2022-04-01,405325
2022-04-01 20:00:00,0.64,2,2022-04-01,405325
2022-04-01 21:00:00,0.641,2,2022-04-01,405325
2022-04-01 22:00:00,0.642,2,2022-04-01,405325
2022-04-01 23:00:00,0.645,2,2022-04-01,405325
2022-05-01 00:00:00,0.649,2,2022-05-01,405325
2022-05-01 01:00:00,0.651,2,2022-05-01,405325
2022-05-01 02:00:00,0.652,2,2022-05-01,405325
2022-05-01 03:00:00,0.655,2,2022-05-01,405325
2022-05-01 04:00:00,0.654,2,2022-05-01,405325
2022-05-01 05:00:00,0.653,2,2022-05-01,405325
2022-05-01 06:00:00,0.653,2,2022-05-01,405325
2022-05-01 07:00:00,0.653,2,2022-05-01,405325
2022-05-01 08:00:00,0.652,2,2022-05-01,405325
2022-05-01 09:00:00,0.651,2,2022-05-01,405325
2022-05-01 10:00:00,0.647,2,2022-05-01,405325
2022-05-01 11:00:00,0.645,2,2022-05-01,405325
2022-05-01 12:00:00,0.647,2,2022-05-01,405325
2022-05-01 13:00:00,0.645,2,2022-05-01,405325
2022-05-01 14:00:00,0.645,2,2022-05-01,405325
2022-05-01 15:00:00,0.645,2,2022-05-01,405325
2022-05-01 16:00:00,0.645,2,2022-05-01,405325
2022-05-01 17:00:00,0.645,2,2022-05-01,405325
2022-05-01 18:00:00,0.645,2,2022-05-01,405325
2022-05-01 19:00:00,0.645,2,2022-05-01,405325
2022-05-01 20:00:00,0.647,2,2022-05-01,405325
2022-05-01 21:00:00,0.651,2,2022-05-01,405325
2022-05-01 22:00:00,0.653,2,2022-05-01,405325
2022-05-01 23:00:00,0.655,2,2022-05-01,405325
2022-06-01 00:00:00,0.657,2,2022-06-01,405325
2022-06-01 01:00:00,0.659,2,2022-06-01,405325
2022-06-01 02:00:00,0.661,2,2022-06-01,405325
2022-06-01 03:00:00,0.662,2,2022-06-01,405325
2022-06-01 04:00:00,0.661,2,2022-06-01,405325
2022-06-01 05:00:00,0.66,2,2022-06-01,405325
2022-06-01 06:00:00,0.66,2,2022-06-01,405325
2022-06-01 07:00:00,0.657,2,2022-06-01,405325
2022-06-01 08:00:00,0.656,2,2022-06-01,405325
2022-06-01 09:00:00,0.657,2,2022-06-01,405325
2022-06-01 10:00:00,0.659,2,2022-06-01,405325
2022-06-01 11:00:00,0.66,2,2022-06-01,405325
2022-06-01 12:00:00,0.658,2,2022-06-01,405325
2022-06-01 13:00:00,0.658,2,2022-06-01,405325
2022-06-01 14:00:00,0.659,2,2022-06-01,405325
2022-06-01 15:00:00,0.659,2,2022-06-01,405325
2022-06-01 16:00:00,0.66,2,2022-06-01,405325
2022-06-01 17:00:00,0.66,2,2022-06-01,405325
2022-06-01 18:00:00,0.659,2,2022-06-01,405325
2022-06-01 19:00:00,0.659,2,2022-06-01,405325
2022-06-01 20:00:00,0.659,2,2022-06-01,405325
2022-06-01 21:00:00,0.663,2,2022-06-01,405325
2022-06-01 22:00:00,0.663,2,2022-06-01,405325
2022-06-01 23:00:00,0.665,2,2022-06-01,405325
2022-07-01 00:00:00,0.669,2,2022-07-01,405325
2022-07-01 01:00:00,0.671,2,2022-07-01,405325
2022-07-01 02:00:00,0.671,2,2022-07-01,405325
2022-07-01 03:00:00,0.669,2,2022-07-01,405325
2022-07-01 04:00:00,0.669,2,2022-07-01,405325
2022-07-01 05:00:00,0.668,2,2022-07-01,405325
2022-07-01 06:00:00,0.669,2,2022-07-01,405325
2022-07-01 07:00:00,0.669,2,2022-07-01,405325
2022-07-01 08:00:00,0.671,2,2022-07-01,405325
2022-07-01 09:00:00,0.673,2,2022-07-01,405325
2022-07-01 10:00:00,0.672,2,2022-07-01,405325
2022-07-01 11:00:00,0.671,2,2022-07-01,405325
2022-07-01 12:00:00,0.671,2,2022-07-01,405325
2022-07-01 13:00:00,0.671,2,2022-07-01,405325
2022-07-01 14:00:00,0.671,2,2022-07-01,405325
2022-07-01 15:00:00,0.672,2,2022-07-01,405325
