Date,Mean,QC,Water Level (m) Available for release Minimum,QC.1,Water Level (m) Available for release Maximum,QC.2,Cutoff,Site
2022-01-10 00:00:00,1.689,3,1.687,3,1.69,3,2022-01-10,406201
2022-01-10 01:00:00,1.685,3,1.682,3,1.687,3,2022-01-10,406201
2022-01-10 02:00:00,1.685,3,1.682,3,1.687,3,2022-01-10,406201
2022-01-10 03:00:00,1.683,3,1.682,3,1.685,3,2022-01-10,406201
2022-01-10 04:00:00,1.68,3,1.676,3,1.684,3,2022-01-10,406201
2022-01-10 05:00:00,1.677,3,1.674,3,1.68,3,2022-01-10,406201
2022-01-10 06:00:00,1.676,3,1.674,3,1.679,3,2022-01-10,406201
2022-01-10 07:00:00,1.675,3,1.673,3,1.677,3,2022-01-10,406201
2022-01-10 08:00:00,1.673,3,1.672,3,1.674,3,2022-01-10,406201
2022-01-10 09:00:00,1.671,3,1.67,3,1.672,3,2022-01-10,406201
2022-01-10 10:00:00,1.669,3,1.668,3,1.67,3,2022-01-10,406201
2022-01-10 11:00:00,1.667,3,1.666,3,1.668,3,2022-01-10,406201
2022-01-10 12:00:00,1.666,3,1.665,3,1.667,3,2022-01-10,406201
2022-01-10 13:00:00,1.663,3,1.662,3,1.665,3,2022-01-10,406201
2022-01-10 14:00:00,1.662,3,1.659,3,1.663,3,2022-01-10,406201
2022-01-10 15:00:00,1.661,3,1.659,3,1.662,3,2022-01-10,406201
2022-01-10 16:00:00,1.659,3,1.656,3,1.661,3,2022-01-10,406201
2022-01-10 17:00:00,1.656,3,1.654,3,1.658,3,2022-01-10,406201
2022-01-10 18:00:00,1.656,3,1.654,3,1.658,3,2022-01-10,406201
2022-01-10 19:00:00,1.654,3,1.651,3,1.658,3,2022-01-10,406201
2022-01-10 20:00:00,1.654,3,1.652,3,1.656,3,2022-01-10,406201
2022-01-10 21:00:00,1.652,3,1.651,3,1.653,3,2022-01-10,406201
2022-01-10 22:00:00,1.651,3,1.648,3,1.653,3,2022-01-10,406201
2022-01-10 23:00:00,1.65,3,1.649,3,1.651,3,2022-01-10,406201
2022-02-10 00:00:00,1.649,3,1.648,3,1.65,3,2022-02-10,406201
2022-02-10 01:00:00,1.648,3,1.648,3,1.648,3,2022-02-10,406201
2022-02-10 02:00:00,1.647,3,1.646,3,1.649,3,2022-02-10,406201
2022-02-10 03:00:00,1.648,3,1.645,3,1.651,3,2022-02-10,406201
2022-02-10 04:00:00,1.648,3,1.647,3,1.651,3,2022-02-10,406201
2022-02-10 05:00:00,1.645,3,1.643,3,1.647,3,2022-02-10,406201
2022-02-10 06:00:00,1.647,3,1.646,3,1.649,3,2022-02-10,406201
2022-02-10 07:00:00,1.648,3,1.647,3,1.649,3,2022-02-10,406201
2022-02-10 08:00:00,1.649,3,1.649,3,1.651,3,2022-02-10,406201
2022-02-10 09:00:00,1.651,3,1.649,3,1.652,3,2022-02-10,406201
2022-02-10 10:00:00,1.652,3,1.649,3,1.654,3,2022-02-10,406201
2022-02-10 11:00:00,1.655,3,1.653,3,1.656,3,2022-02-10,406201
2022-02-10 12:00:00,1.658,3,1.656,3,1.659,3,2022-02-10,406201
2022-02-10 13:00:00,1.662,3,1.658,3,1.665,3,2022-02-10,406201
2022-02-10 14:00:00,1.667,3,1.664,3,1.67,3,2022-02-10,406201
2022-02-10 15:00:00,1.67,3,1.668,3,1.673,3,2022-02-10,406201
2022-02-10 16:00:00,1.675,3,1.671,3,1.678,3,2022-02-10,406201
2022-02-10 17:00:00,1.678,3,1.675,3,1.682,3,2022-02-10,406201
2022-02-10 18:00:00,1.683,3,1.682,3,1.684,3,2022-02-10,406201
2022-02-10 19:00:00,1.686,3,1.684,3,1.69,3,2022-02-10,406201
2022-02-10 20:00:00,1.691,3,1.69,3,1.692,3,2022-02-10,406201
2022-02-10 21:00:00,1.692,3,1.689,3,1.693,3,2022-02-10,406201
2022-02-10 22:00:00,1.693,3,1.692,3,1.697,3,2022-02-10,406201
2022-02-10 23:00:00,1.697,3,1.693,3,1.699,3,2022-02-10,406201
2022-03-10 00:00:00,1.7,3,1.699,3,1.701,3,2022-03-10,406201
2022-03-10 01:00:00,1.7,3,1.699,3,1.701,3,2022-03-10,406201
2022-03-10 02:00:00,1.698,3,1.696,3,1.7,3,2022-03-10,406201
2022-03-10 03:00:00,1.698,3,1.697,3,1.7,3,2022-03-10,406201
2022-03-10 04:00:00,1.696,3,1.694,3,1.697,3,2022-03-10,406201
2022-03-10 05:00:00,1.695,3,1.694,3,1.697,3,2022-03-10,406201
2022-03-10 06:00:00,1.69,3,1.689,3,1.694,3,2022-03-10,406201
2022-03-10 07:00:00,1.689,3,1.685,3,1.691,3,2022-03-10,406201
2022-03-10 08:00:00,1.687,3,1.685,3,1.688,3,2022-03-10,406201
2022-03-10 09:00:00,1.685,3,1.683,3,1.686,3,2022-03-10,406201
2022-03-10 10:00:00,1.685,3,1.682,3,1.687,3,2022-03-10,406201
2022-03-10 11:00:00,1.684,3,1.682,3,1.686,3,2022-03-10,406201
2022-03-10 12:00:00,1.683,3,1.682,3,1.685,3,2022-03-10,406201
2022-03-10 13:00:00,1.686,3,1.684,3,1.687,3,2022-03-10,406201
2022-03-10 14:00:00,1.686,3,1.684,3,1.687,3,2022-03-10,406201
2022-03-10 15:00:00,1.688,3,1.687,3,1.689,3,2022-03-10,406201
2022-03-10 16:00:00,1.69,3,1.689,3,1.691,3,2022-03-10,406201
2022-03-10 17:00:00,1.692,3,1.689,3,1.695,3,2022-03-10,406201
2022-03-10 18:00:00,1.694,3,1.69,3,1.697,3,2022-03-10,406201
2022-03-10 19:00:00,1.698,3,1.696,3,1.702,3,2022-03-10,406201
2022-03-10 20:00:00,1.702,3,1.699,3,1.705,3,2022-03-10,406201
2022-03-10 21:00:00,1.711,3,1.704,3,1.717,3,2022-03-10,406201
2022-03-10 22:00:00,1.726,3,1.717,3,1.741,3,2022-03-10,406201
2022-03-10 23:00:00,1.757,3,1.741,3,1.777,3,2022-03-10,406201
2022-04-10 00:00:00,1.793,3,1.777,3,1.809,3,2022-04-10,406201
