Station Name,Time/Day,Height,Tendency,Flood Class,Recent Data,Scraped,State
Severn River,Severn River,Severn River,Severn River,Severn River,Severn River,2022-10-17 09:28:27.703927+11:00,NSW
Severn R at Fladbury,9.00am Mon,0.69,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Severn R at Strathbogie,8.00am Mon,1.54,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Severn R at Ducca Marrin,8.00am Mon,1.18,falling,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Frazers Ck at Glenorchy,9.00am Mon,1.09,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Frazers Ck at Westholme (Ashford),9.00am Mon,0.58,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Severn R at Ashford,9.00am Mon,1.01,steady,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Macintyre River to Inverell,Macintyre River to Inverell,Macintyre River to Inverell,Macintyre River to Inverell,Macintyre River to Inverell,Macintyre River to Inverell,2022-10-17 09:28:27.703927+11:00,NSW
Kings Ck at Gred,9.00am Mon,0.08,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Kings Ck at Newstead North,8.45am Mon,0.34,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Paradise Ck at Paradise Station,9.00am Mon,0.05,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Macintyre R at Wyoming,8.15am Mon,0.48,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Macintyre R at Little Valley,9.00am Mon,0.19,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Macintyre R at Elsmore Br,9.00am Mon,0.22,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Macintyre R at Riverstone,9.00am Mon,1.02,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Middle Ck at Stannifer,9.00am Mon,-0.09,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Middle Ck at Ferndale,9.00am Mon,0.73,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Macintyre R at Inverell Middle Ck**,9.00am Mon,0.82,steady,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Central Macintyre to Dumaresq,Central Macintyre to Dumaresq,Central Macintyre to Dumaresq,Central Macintyre to Dumaresq,Central Macintyre to Dumaresq,Central Macintyre to Dumaresq,2022-10-17 09:28:27.703927+11:00,NSW
Macintyre R at Tintot,9.00am Mon,0.95,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Macintyre R at Wallangra,9.00am Mon,1.18,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Macintyre River at Ridgelands,9.00am Mon,1.43,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Macintyre R at Yetman Br,9.00am Mon,1.65,steady,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Macintyre R at Holdfast,9.00am Mon,1.07,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Dumaresq River,Dumaresq River,Dumaresq River,Dumaresq River,Dumaresq River,Dumaresq River,2022-10-17 09:28:27.703927+11:00,NSW
Ottleys Ck at Coolatai,9.00am Mon,0.50,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Deepwater R at Bolivia,9.00am Mon,0.63,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Mole R at Donaldson,8.15am Mon,0.78,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Tenterfield Ck at Clifton,9.00am Mon,0.57,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Dumaresq R at Farnbro,7.00am Mon,1.18,steady,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Pike Ck D/S Glenlyon Dam,5.00am Mon,0.73,steady,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Quart Pot Ck at Stanthorpe,7.00am Mon,0.35,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Dumaresq R at Roseneath,9.00am Mon,1.05,steady,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Beardy R at Haystack,9.00am Mon,0.93,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Dumaresq R at Bonshaw,9.00am Mon,3.18,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Dumaresq R at Texas,6.00am Mon,1.90,steady,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Brush Ck at Beebo,7.00am Mon,1.51,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Dumaresq R at Glenarbon Weir D/S,9.00am Mon,0.73,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Macintyre Bk at Barongarook,8.00am Mon,1.02,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Macintyre Bk at Terraine,8.00am Mon,0.03,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
Coolmunda Dam HW,8.00am Mon,0.01,steady,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NSW
