Station Name,Time/Day,Height,Tendency,Crossing,Flood Class,Recent Data,Scraped,State
Border Rivers,Border Rivers,Border Rivers,Border Rivers,Border Rivers,Border Rivers,Border Rivers,2022-10-13 19:30:01.573854+11:00,NSW
Macintyre R at Wallangra,5.00pm Thu,1.31,steady,,,Plot | Table,2022-10-13 19:30:01.573854+11:00,NSW
Severn R at Pindari Dam W/L,5.00pm Thu,516.08,steady,0.08 above Spillway,,Plot | Table,2022-10-13 19:30:01.573854+11:00,NSW
Severn R at Ashford,5.00pm Thu,1.27,steady,,below minor,Plot | Table,2022-10-13 19:30:01.573854+11:00,NSW
Macintyre River at Ridgelands,6.00pm Thu,2.02,steady,,,Plot | Table,2022-10-13 19:30:01.573854+11:00,NSW
Macintyre R at Holdfast,5.00pm Thu,1.65,steady,,,Plot | Table,2022-10-13 19:30:01.573854+11:00,NSW
Quart Pot Ck U/S Storm King Dam #,3.37pm Thu,1.69,steady,1.02 below Bridge,below minor,Plot | Table,2022-10-13 19:30:01.573854+11:00,NSW
Mountain Station Ck at Mt Stat Ck #,5.19pm Thu,0.35,steady,1.25 below Road,below minor,Plot | Table,2022-10-13 19:30:01.573854+11:00,NSW
Quart Pot Ck at Storm King Dam HW #,5.59pm Thu,0.09,steady,0.09 above Spillway,below minor,Plot | Table,2022-10-13 19:30:01.573854+11:00,NSW
Quart Pot Ck at Dalcouth Road #,4.24pm Thu,1.05,steady,0.25 below Causeway,below minor,Plot | Table,2022-10-13 19:30:01.573854+11:00,NSW
Quart Pot Ck at Granite Street #,3.41pm Thu,0.43,steady,0.18 below Road,below minor,Plot | Table,2022-10-13 19:30:01.573854+11:00,NSW
Quart Pot Ck at Stanthorpe #,3.34pm Thu,0.38,steady,,below minor,Plot | Table,2022-10-13 19:30:01.573854+11:00,NSW
Quart Pot Ck at Stanthorpe *,5.00pm Thu,0.41,steady,,below minor,Plot | Table,2022-10-13 19:30:01.573854+11:00,NSW
4 Mile Ck at Glen Niven Dam TM*,5.00pm Thu,879.46,steady,0.11 above Spillway,,Plot | Table,2022-10-13 19:30:01.573854+11:00,NSW
Broadwater Creek #,4.09pm Thu,0.83,falling,,below minor,Plot | Table,2022-10-13 19:30:01.573854+11:00,NSW
Broadwater Creek *,5.00pm Thu,0.84,steady,,below minor,Plot | Table,2022-10-13 19:30:01.573854+11:00,NSW
Severn R at Ballandean *,5.00pm Thu,1.02,steady,0.88 below Approaches,below minor,Plot | Table,2022-10-13 19:30:01.573854+11:00,NSW
Severn R at Ballandean #,5.04pm Thu,1.04,steady,0.86 below Approaches,below minor,Plot | Table,2022-10-13 19:30:01.573854+11:00,NSW
Accommodation Ck at Ballandean *,5.00pm Thu,0.56,steady,1.14 below Crossing,below minor,Plot | Table,2022-10-13 19:30:01.573854+11:00,NSW
Accommodation Ck at Ballandean #,5.24pm Thu,0.60,steady,1.10 below Bridge,below minor,Plot | Table,2022-10-13 19:30:01.573854+11:00,NSW
Dumaresq R at Farnbro *,5.00pm Thu,1.27,steady,,below minor,Plot | Table,2022-10-13 19:30:01.573854+11:00,NSW
Pike Ck at Glenlyon Dam TW *,5.25pm Thu,0.90,steady,,below minor,Plot | Table,2022-10-13 19:30:01.573854+11:00,NSW
Mole R at Donaldson,5.30pm Thu,0.89,steady,,,Plot | Table,2022-10-13 19:30:01.573854+11:00,NSW
Dumaresq R at Roseneath,5.00pm Thu,1.20,steady,,below minor,Plot | Table,2022-10-13 19:30:01.573854+11:00,NSW
Beardy R at Haystack,6.00pm Thu,1.06,steady,,,Plot | Table,2022-10-13 19:30:01.573854+11:00,NSW
Dumaresq R at Bonshaw,5.00pm Thu,3.30,steady,,,Plot | Table,2022-10-13 19:30:01.573854+11:00,NSW
Dumaresq R at Texas *,6.00pm Thu,1.90,steady,5.60 below Road,below minor,Plot | Table,2022-10-13 19:30:01.573854+11:00,NSW
Oaky Ck at Texas *,5.00pm Thu,0.42,steady,,below minor,Plot | Table,2022-10-13 19:30:01.573854+11:00,NSW
Brush Ck at Beebo *,5.00pm Thu,1.55,steady,,below minor,Plot | Table,2022-10-13 19:30:01.573854+11:00,NSW
