Station Name,Time/Day,Height,Tendency,Crossing,Flood Class,Recent Data,Scraped,State
Victoria Catchment,Victoria Catchment,Victoria Catchment,Victoria Catchment,Victoria Catchment,Victoria Catchment,Victoria Catchment,2022-10-17 09:28:27.703927+11:00,NT
Armstrong R u/s Buntine Highway*,6.00am Mon,0.02,steady,3.58 below bridge deck,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NT
Townsend Ck u/s Buntine Highway*,6.00am Mon,0.14,steady,2.61 below bridge deck,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NT
Camfield R at Buntine Highway*,6.00am Mon,0.80,steady,4.00 below bridge deck,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NT
Victoria R at Kalkarindji*,6.45am Mon,-0.44,steady,9.74 below bridge deck,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,NT
Wickham R at Williams Crossing*,6.00am Mon,0.34,steady,0.19 below crossing,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NT
Victoria R at Dashwood Crossing*,6.00am Mon,0.02,steady,0.48 below crossing,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NT
Katherine Catchment,Katherine Catchment,Katherine Catchment,Katherine Catchment,Katherine Catchment,Katherine Catchment,Katherine Catchment,2022-10-17 09:28:27.703927+11:00,NT
Katherine R near Birdie Creek*,7.30am Mon,1.03,steady,At Level of CTF,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NT
Seventeen Mile Creek*,7.20am Mon,0.69,steady,0.36 above CTF,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NT
Katherine R at Nitmiluk Centre#,6.50am Mon,-1.91,steady,0.11 below CTF,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,NT
Maud Creek*,6.50am Mon,5.21,steady,4.79 below bridge deck,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NT
Katherine R at Ironwood Station*,6.45am Mon,1.29,steady,0.09 above CTF,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NT
Katherine R at Katherine Bridge#,7.15am Mon,0.22,steady,18.78 below bridge deck,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,NT
Daly Catchment,Daly Catchment,Daly Catchment,Daly Catchment,Daly Catchment,Daly Catchment,Daly Catchment,2022-10-17 09:28:27.703927+11:00,NT
Dry R near Manbulloo*,6.00am Mon,0.07,steady,0.13 below CTF,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NT
King R d/s Stuart Highway*,4.00am Mon,0.67,steady,0.22 above CTF,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NT
King R d/s Victoria Highway*,6.00am Mon,0.81,steady,0.50 above CTF,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NT
Flora R at Stoney Creek*,6.40am Mon,1.61,falling,0.76 above CTF,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NT
Edith R u/s Stuart Highway*,6.40am Mon,0.31,steady,0.13 above CTF,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NT
Cullen R at Stuart Highway*,7.10am Mon,0.39,steady,5.71 below bridge deck,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NT
Fergusson R at Railway Bridge*,7.00am Mon,1.05,steady,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NT
Fergusson R near Bondi Creek*,6.40am Mon,2.53,steady,0.33 above crossing,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NT
Daly R at Dorisvale Crossing*,6.00am Mon,1.63,steady,0.33 above crossing,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NT
Daly R at Theyona Station*,6.00am Mon,1.27,steady,1.27 above CTF,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NT
Douglas R at Douglas Crossing*,7.30am Mon,0.64,steady,0.37 above CTF,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NT
Daly R at Beeboom Crossing*,6.00am Mon,0.79,steady,0.21 below crossing,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NT
Daly R at Gourley*,6.00am Mon,1.51,steady,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NT
Daly R at Mount Nancar*,6.45am Mon,1.69,steady,,,Plot | Table,2022-10-17 09:28:27.703927+11:00,NT
Daly R at Daly R Police Station*,6.45am Mon,1.27,steady,0.23 below crossing,below minor,Plot | Table,2022-10-17 09:28:27.703927+11:00,NT
