Station Name,Time/Day,Height,Tendency,Crossing,Flood Class,Recent Data,Scraped,State
Warrego,Warrego,Warrego,Warrego,Warrego,Warrego,Warrego,2022-10-14 04:10:01.858067+11:00,QLD
Warrego R at Barngo Crossing #,2.23am Fri,0.15,rising,,,Plot | Table,2022-10-14 04:10:01.858067+11:00,QLD
Warrego R at Bogarella Crossing #,2.21am Fri,0.05,steady,,,Plot | Table,2022-10-14 04:10:01.858067+11:00,QLD
Warrego R at Caroline Crossing #,12.25am Fri,0.00,steady,,,Plot | Table,2022-10-14 04:10:01.858067+11:00,QLD
Warrego R at Augathella *,2.00am Fri,0.92,steady,5.08 below Approaches,below minor,Plot | Table,2022-10-14 04:10:01.858067+11:00,QLD
Nive R at Old Tambo Rd #,2.27am Fri,0.05,steady,,,Plot | Table,2022-10-14 04:10:01.858067+11:00,QLD
Nive R at Biddenham #,12.43am Fri,0.65,steady,,below minor,Plot | Table,2022-10-14 04:10:01.858067+11:00,QLD
Warrego R at The 27 Mile Garden #,2.46am Fri,0.51,steady,3.39 below Approaches,below minor,Plot | Table,2022-10-14 04:10:01.858067+11:00,QLD
Middle Ck at Wellwater Rd #,2.18am Fri,0.00,steady,,,Plot | Table,2022-10-14 04:10:01.858067+11:00,QLD
Bradleys Gully at Raceview #,12.56am Fri,0.35,steady,,below minor,Plot | Table,2022-10-14 04:10:01.858067+11:00,QLD
Lower Bradleys Gully #,1.10am Fri,0.00,steady,,below minor,Plot | Table,2022-10-14 04:10:01.858067+11:00,QLD
Warrego R at Charleville #,12.27am Fri,1.22,steady,4.88 below Bridge,below minor,Plot | Table,2022-10-14 04:10:01.858067+11:00,QLD
Langlo River at Warilda #,3.04am Fri,0.65,steady,2.75 below Bridge,below minor,Plot | Table,2022-10-14 04:10:01.858067+11:00,QLD
Langlo R at Bonella #,2.20am Fri,0.10,steady,,,Plot | Table,2022-10-14 04:10:01.858067+11:00,QLD
Ward R at Oakwood #,2.56am Fri,0.00,steady,,,Plot | Table,2022-10-14 04:10:01.858067+11:00,QLD
Ward R at Ward R Xing #,3.00am Fri,0.00,steady,,,Plot | Table,2022-10-14 04:10:01.858067+11:00,QLD
Ward R at Binnowee *,2.00am Fri,1.21,steady,4.99 below Approaches,below minor,Plot | Table,2022-10-14 04:10:01.858067+11:00,QLD
Ward R at Binnowee #,3.00am Fri,1.18,falling,5.02 below Approaches,below minor,Plot | Table,2022-10-14 04:10:01.858067+11:00,QLD
Angellala Ck at Bonfield #,3.07am Fri,0.00,steady,,,Plot | Table,2022-10-14 04:10:01.858067+11:00,QLD
Angellala Ck at Alice Downs #,1.44am Fri,0.20,rising,,,Plot | Table,2022-10-14 04:10:01.858067+11:00,QLD
Angellala Ck at Wallal #,12.42am Fri,0.00,steady,,,Plot | Table,2022-10-14 04:10:01.858067+11:00,QLD
Warrego R at Bakers Bend #,2.37am Fri,1.21,falling,,below minor,Plot | Table,2022-10-14 04:10:01.858067+11:00,QLD
Warrego R at Wyandra *,2.00am Fri,3.04,steady,4.56 below Bridge,below minor,Plot | Table,2022-10-14 04:10:01.858067+11:00,QLD
Warrego R at Wallen *,2.00am Fri,2.50,steady,,below minor,Plot | Table,2022-10-14 04:10:01.858067+11:00,QLD
Warrego R at Cunnamulla Weir *,2.00am Fri,5.94,steady,0.43 above Weir,below minor,Plot | Table,2022-10-14 04:10:01.858067+11:00,QLD
Warrego R at Barringun No.2,2.00am Fri,2.65,steady,,,Plot | Table,2022-10-14 04:10:01.858067+11:00,QLD
Paroo,Paroo,Paroo,Paroo,Paroo,Paroo,Paroo,2022-10-14 04:10:01.858067+11:00,QLD
Quilberry Ck at Cooladdi #,2.36am Fri,0.00,steady,,,Plot | Table,2022-10-14 04:10:01.858067+11:00,QLD
Paroo R at Humeburn #,3.07am Fri,2.90,falling,1.60 below Bridge,moderate,Plot | Table,2022-10-14 04:10:01.858067+11:00,QLD
Paroo R at Farnham Plains,6.15am Thu,3.45,falling slowly,0.75 above Bridge,minor,Plot | Table,2022-10-14 04:10:01.858067+11:00,QLD
Paroo R at Eulo,5.20pm Thu,3.67,steady,0.67 above Approaches,moderate,Plot | Table,2022-10-14 04:10:01.858067+11:00,QLD
Yowah Ck at Alroy Crossing *,2.22am Fri,0.08,steady,,,Plot | Table,2022-10-14 04:10:01.858067+11:00,QLD
Paroo R at Caiwarro *,2.00am Fri,3.02,steady,,moderate,Plot | Table,2022-10-14 04:10:01.858067+11:00,QLD
Paroo R at Hungerford,3.00pm Thu,1.35,rising slowly,0.35 above Crossing,minor,Plot | Table,2022-10-14 04:10:01.858067+11:00,QLD
Bulloo,Bulloo,Bulloo,Bulloo,Bulloo,Bulloo,Bulloo,2022-10-14 04:10:01.858067+11:00,QLD
Blackwater Ck at Patricia Park *,2.12pm Thu,0.83,falling,,,Plot | Table,2022-10-14 04:10:01.858067+11:00,QLD
Bulloo R at Milroy *,2.23am Fri,2.11,falling,,below minor,Plot | Table,2022-10-14 04:10:01.858067+11:00,QLD
Bulloo R at Quilpie *,2.12am Fri,4.21,steady,0.39 below Bridge,moderate,Plot | Table,2022-10-14 04:10:01.858067+11:00,QLD
Winbin Ck *,2.45am Fri,0.01,steady,1.55 below Bridge,,Plot | Table,2022-10-14 04:10:01.858067+11:00,QLD
Bulloo R at South Comongin *,2.34am Fri,3.63,steady,1.78 above Bridge,,Plot | Table,2022-10-14 04:10:01.858067+11:00,QLD
Bulloo R at Soonah Crossing *,2.48am Fri,4.70,falling,3.73 above Causeway,,Plot | Table,2022-10-14 04:10:01.858067+11:00,QLD
Bulloo R at Autumnvale *,2.00am Fri,6.37,steady,,moderate,Plot | Table,2022-10-14 04:10:01.858067+11:00,QLD
Yappi Ck *,12.33am Fri,2.60,steady,,,Plot | Table,2022-10-14 04:10:01.858067+11:00,QLD
Bulloo R at Thargomindah,1.35pm Thu,4.98,rising,0.88 above Bridge,moderate,Plot | Table,2022-10-14 04:10:01.858067+11:00,QLD
