Station Name,Time/Day,Height,Tendency,Crossing,Flood Class,Recent Data,Scraped,State
Torrens,Torrens,Torrens,Torrens,Torrens,Torrens,Torrens,2022-10-14 15:40:02.412786+11:00,SA
Torrens R at Mt Pleasant (DEW),2.05pm Fri,1.32,steady,0.32 above weir,,Plot | Table,2022-10-14 15:40:02.412786+11:00,SA
Torrens R at Mt Pleasant (SAW),3.05pm Fri,1.32,steady,0.32 above weir,,Plot | Table,2022-10-14 15:40:02.412786+11:00,SA
Angas Ck at Muellers Rd,12.18pm Fri,0.19,steady,,,Plot | Table,2022-10-14 15:40:02.412786+11:00,SA
Millers Ck at Forreston,2.34pm Fri,0.22,steady,,,Plot | Table,2022-10-14 15:40:02.412786+11:00,SA
Torrens R at Gumeracha Weir (SAW),3.05pm Fri,10.17,steady,0.17 above weir,below minor,Plot | Table,2022-10-14 15:40:02.412786+11:00,SA
Torrens R at Gumeracha Weir (BOM),1.20pm Fri,10.13,steady,0.13 above weir,below minor,Plot | Table,2022-10-14 15:40:02.412786+11:00,SA
Cudlee Ck at Lobethal Rd,12.58pm Fri,0.16,steady,0.16 above weir,,Plot | Table,2022-10-14 15:40:02.412786+11:00,SA
Millbrook Reservoir (SAW),3.05pm Fri,24.00,steady,1.40 below spillway,,Plot | Table,2022-10-14 15:40:02.412786+11:00,SA
Torrens R DS Hollands Ck (DEW),2.00pm Fri,1.53,steady,0.53 above weir,,Plot | Table,2022-10-14 15:40:02.412786+11:00,SA
Kangaroo Creek Resv Dam (SAW),3.05pm Fri,43.60,steady,0.60 below spillway,,Plot | Table,2022-10-14 15:40:02.412786+11:00,SA
Sixth Ck at Castambul,1.58pm Fri,0.38,steady,0.38 above weir,below minor,Plot | Table,2022-10-14 15:40:02.412786+11:00,SA
Torrens R at Gorge Weir,3.01pm Fri,9.57,steady,0.43 below weir,below minor,Plot | Table,2022-10-14 15:40:02.412786+11:00,SA
Torrens R at Gorge Weir (SAW),3.05pm Fri,9.60,steady,0.40 below weir,below minor,Plot | Table,2022-10-14 15:40:02.412786+11:00,SA
Fifth Ck at Athelstone,1.26pm Fri,0.31,steady,,below minor,Plot | Table,2022-10-14 15:40:02.412786+11:00,SA
Second Ck at Stonyfell,12.14pm Fri,0.10,steady,0.10 above weir,,Plot | Table,2022-10-14 15:40:02.412786+11:00,SA
Torrens R at Walkerville (DEW),2.05pm Fri,1.74,falling,,,Plot | Table,2022-10-14 15:40:02.412786+11:00,SA
First Ck at Waterfall Gully Rd,2.25pm Fri,0.44,steady,1.56 below bridge,below minor,Plot | Table,2022-10-14 15:40:02.412786+11:00,SA
First Ck at Botanic Gdns (DEW),2.05pm Fri,1.10,steady,0.10 above weir,,Plot | Table,2022-10-14 15:40:02.412786+11:00,SA
Torrens R at Holbrooks Rd (DEW),2.00pm Fri,2.13,rising,1.13 above weir,,Plot | Table,2022-10-14 15:40:02.412786+11:00,SA
Torrens R at Seaview Rd (DEW),2.00pm Fri,0.37,steady,,,Plot | Table,2022-10-14 15:40:02.412786+11:00,SA
Port Adelaide,Port Adelaide,Port Adelaide,Port Adelaide,Port Adelaide,Port Adelaide,Port Adelaide,2022-10-14 15:40:02.412786+11:00,SA
Dry Ck at Valley View (DEW),2.00pm Fri,1.16,steady,0.16 above weir,below minor,Plot | Table,2022-10-14 15:40:02.412786+11:00,SA
Dry Ck at Bridge Rd (DEW),1.50pm Fri,1.20,steady,3.80 below bridge,below minor,Plot | Table,2022-10-14 15:40:02.412786+11:00,SA
Little Para Reservoir (SAW),3.05pm Fri,12.29,steady,28.41 below spillway,,Plot | Table,2022-10-14 15:40:02.412786+11:00,SA
Little Para R US Fault (DEW),2.05pm Fri,1.46,steady,0.46 above weir,,Plot | Table,2022-10-14 15:40:02.412786+11:00,SA
Tide level at Pt Adelaide (Osborne),3.04pm Fri,0.88,rising,,below minor,Plot | Table,2022-10-14 15:40:02.412786+11:00,SA
Patawalonga,Patawalonga,Patawalonga,Patawalonga,Patawalonga,Patawalonga,Patawalonga,2022-10-14 15:40:02.412786+11:00,SA
Keswick Ck at Victoria Park,1.47pm Fri,0.03,falling,,,Plot | Table,2022-10-14 15:40:02.412786+11:00,SA
Keswick Ck at Unley (Roberts Place),12.59pm Fri,0.17,steady,,below minor,Plot | Table,2022-10-14 15:40:02.412786+11:00,SA
Keswick Ck at Army Barracks,2.52pm Fri,0.25,falling,2.25 below bridge,below minor,Plot | Table,2022-10-14 15:40:02.412786+11:00,SA
Brownhill Ck at Mitcham (DEW),2.05pm Fri,1.17,steady,0.17 above weir,,Plot | Table,2022-10-14 15:40:02.412786+11:00,SA
Brownhill Ck at Heywood Park,2.33pm Fri,0.10,steady,,,Plot | Table,2022-10-14 15:40:02.412786+11:00,SA
Brownhill Ck at Adelaide Ap (DEW),2.05pm Fri,0.23,steady,3.27 below bridge,,Plot | Table,2022-10-14 15:40:02.412786+11:00,SA
Sturt Ck at Coromandel Valley,12.46pm Fri,0.17,steady,,below minor,Plot | Table,2022-10-14 15:40:02.412786+11:00,SA
Sturt Ck DS Minno Ck (DEW),2.05pm Fri,1.19,steady,0.19 above weir,,Plot | Table,2022-10-14 15:40:02.412786+11:00,SA
Sturt Ck at Sturt Dam,12.54pm Fri,0.14,falling,23.91 below spillway,below minor,Plot | Table,2022-10-14 15:40:02.412786+11:00,SA
Sturt Ck at Marion (Marion Rd),2.12pm Fri,0.23,steady,,below minor,Plot | Table,2022-10-14 15:40:02.412786+11:00,SA
Sturt Ck at Novar Gardens (DEW),1.50pm Fri,1.16,steady,0.10 above weir,,Plot | Table,2022-10-14 15:40:02.412786+11:00,SA
