Station Name,Time/Day,Height,Tendency,Crossing,Flood Class,Recent Data,Scraped,State
Murray,Murray,Murray,Murray,Murray,Murray,Murray,2022-10-13 15:21:38.985233+11:00,SA
R Murray at Wentworth (Lock 10),2.00pm Thu,31.78,steady,,below minor,Plot | Table,2022-10-13 15:21:38.985233+11:00,SA
R Murray US Lock 9 (DEW),2.00pm Thu,28.27,steady,,,Plot | Table,2022-10-13 15:21:38.985233+11:00,SA
R Murray DS Lock 9 (DEW),2.00pm Thu,28.28,steady,,,Plot | Table,2022-10-13 15:21:38.985233+11:00,SA
R Murray US Lock 8 (DEW),2.05pm Thu,26.37,steady,,,Plot | Table,2022-10-13 15:21:38.985233+11:00,SA
R Murray DS Lock 8 (DEW),2.05pm Thu,26.34,steady,,,Plot | Table,2022-10-13 15:21:38.985233+11:00,SA
Lake Victoria (DEW),2.05pm Thu,26.22,steady,,,Plot | Table,2022-10-13 15:21:38.985233+11:00,SA
R Murray US Lock 7 (DEW),2.00pm Thu,24.66,steady,,,Plot | Table,2022-10-13 15:21:38.985233+11:00,SA
R Murray US Lock 6 (DEW),2.00pm Thu,19.65,rising,,below minor,Plot | Table,2022-10-13 15:21:38.985233+11:00,SA
R Murray DS Lock 6 (DEW),2.00pm Thu,19.57,steady,,below minor,Plot | Table,2022-10-13 15:21:38.985233+11:00,SA
Chowilla DS Monoman Ck (DEW),2.00pm Thu,19.15,steady,,,Plot | Table,2022-10-13 15:21:38.985233+11:00,SA
R Murray US Lock 5 (DEW),2.00pm Thu,16.32,steady,,below minor,Plot | Table,2022-10-13 15:21:38.985233+11:00,SA
R Murray DS Lock 5 (DEW),2.00pm Thu,16.19,steady,,below minor,Plot | Table,2022-10-13 15:21:38.985233+11:00,SA
R Murray at Lyrup Pump Stn (DEW),2.00pm Thu,14.83,steady,,below minor,Plot | Table,2022-10-13 15:21:38.985233+11:00,SA
R Murray at Berri Pump Stn (DEW),2.00pm Thu,14.37,steady,,below minor,Plot | Table,2022-10-13 15:21:38.985233+11:00,SA
R Murray US Lock 4 (DEW),2.00pm Thu,13.99,rising,,below minor,Plot | Table,2022-10-13 15:21:38.985233+11:00,SA
R Murray DS Lock 4 (DEW),2.00pm Thu,13.94,steady,,below minor,Plot | Table,2022-10-13 15:21:38.985233+11:00,SA
R Murray at Loxton Pump Stn (DEW),12.05pm Thu,12.67,steady,,below minor,Plot | Table,2022-10-13 15:21:38.985233+11:00,SA
R Murray US Lock 3 (DEW),2.00pm Thu,9.82,rising,,below minor,Plot | Table,2022-10-13 15:21:38.985233+11:00,SA
R Murray DS Lock 3 (DEW),2.00pm Thu,9.67,steady,,below minor,Plot | Table,2022-10-13 15:21:38.985233+11:00,SA
R Murray US Overland Corner (DEW),2.00pm Thu,9.08,steady,,below minor,Plot | Table,2022-10-13 15:21:38.985233+11:00,SA
R Murray US Lock 2 (DEW),2.05pm Thu,6.92,steady,,below minor,Plot | Table,2022-10-13 15:21:38.985233+11:00,SA
R Murray DS Lock 2 (DEW),2.05pm Thu,6.88,steady,,below minor,Plot | Table,2022-10-13 15:21:38.985233+11:00,SA
R Murray US Lock 1 (DEW),1.55pm Thu,3.29,steady,,below minor,Plot | Table,2022-10-13 15:21:38.985233+11:00,SA
R Murray DS Lock 1 (DEW),2.00pm Thu,3.31,steady,,below minor,Plot | Table,2022-10-13 15:21:38.985233+11:00,SA
R Murray at Swan Reach 3km DS Ferry,2.05pm Thu,2.09,steady,,below minor,Plot | Table,2022-10-13 15:21:38.985233+11:00,SA
Marne River at Marne Gorge (DEW),12.55pm Thu,1.12,steady,0.12 above weir,,Plot | Table,2022-10-13 15:21:38.985233+11:00,SA
R Murray at Walker Flat (DEW),2.05pm Thu,1.36,steady,,below minor,Plot | Table,2022-10-13 15:21:38.985233+11:00,SA
R Murray at Mannum Wharf (DEW),2.05pm Thu,0.90,steady,,below minor,Plot | Table,2022-10-13 15:21:38.985233+11:00,SA
R Murray at Murray Bridge/Long Is.,2.05pm Thu,0.74,steady,,below minor,Plot | Table,2022-10-13 15:21:38.985233+11:00,SA
R Murray 2km DS Wellington ferry,2.10pm Thu,0.76,steady,,below minor,Plot | Table,2022-10-13 15:21:38.985233+11:00,SA
L Alexandrina at Milang Jetty (DEW),2.00pm Thu,0.67,steady,,below minor,Plot | Table,2022-10-13 15:21:38.985233+11:00,SA
Lake Albert at Meningie Jetty (DEW),2.00pm Thu,0.74,steady,,below minor,Plot | Table,2022-10-13 15:21:38.985233+11:00,SA
Goolwa Channel 2km West of Clayton,2.05pm Thu,0.64,steady,,below minor,Plot | Table,2022-10-13 15:21:38.985233+11:00,SA
Goolwa Channel DS Hindmarsh Bridge,2.05pm Thu,0.62,steady,3.38 below approaches,below minor,Plot | Table,2022-10-13 15:21:38.985233+11:00,SA
US Goolwa Barrage (DEW),2.05pm Thu,0.63,steady,,below minor,Plot | Table,2022-10-13 15:21:38.985233+11:00,SA
DS Goolwa Barrage (DEW),2.05pm Thu,0.58,rising,,below minor,Plot | Table,2022-10-13 15:21:38.985233+11:00,SA
Tauwitchere Barrage (DEW),2.00pm Thu,0.64,steady,,below minor,Plot | Table,2022-10-13 15:21:38.985233+11:00,SA
