Station Name,Time/Day,Height,Tendency,Crossing,Flood Class,Recent Data,Scraped,State
Murray,Murray,Murray,Murray,Murray,Murray,Murray,2022-10-14 03:40:01.969279+11:00,SA
R Murray at Wentworth (Lock 10),3.00am Fri,31.81,steady,,below minor,Plot | Table,2022-10-14 03:40:01.969279+11:00,SA
R Murray US Lock 9 (DEW),2.05am Fri,28.29,steady,,,Plot | Table,2022-10-14 03:40:01.969279+11:00,SA
R Murray DS Lock 9 (DEW),2.05am Fri,28.30,steady,,,Plot | Table,2022-10-14 03:40:01.969279+11:00,SA
R Murray US Lock 8 (DEW),2.05am Fri,26.38,falling,,,Plot | Table,2022-10-14 03:40:01.969279+11:00,SA
R Murray DS Lock 8 (DEW),2.05am Fri,26.37,steady,,,Plot | Table,2022-10-14 03:40:01.969279+11:00,SA
Lake Victoria (DEW),2.05am Fri,26.19,steady,,,Plot | Table,2022-10-14 03:40:01.969279+11:00,SA
R Murray US Lock 7 (DEW),2.05am Fri,24.67,steady,,,Plot | Table,2022-10-14 03:40:01.969279+11:00,SA
R Murray DS Rufus River (DEW),3.00am Fri,7.71,steady,,,Plot | Table,2022-10-14 03:40:01.969279+11:00,SA
R Murray US Lock 6 (DEW),2.05am Fri,19.68,steady,,below minor,Plot | Table,2022-10-14 03:40:01.969279+11:00,SA
R Murray DS Lock 6 (DEW),2.05am Fri,19.59,steady,,below minor,Plot | Table,2022-10-14 03:40:01.969279+11:00,SA
Chowilla DS Monoman Ck (DEW),2.00am Fri,19.18,steady,,,Plot | Table,2022-10-14 03:40:01.969279+11:00,SA
R Murray US Lock 5 (DEW),2.05am Fri,16.27,falling,,below minor,Plot | Table,2022-10-14 03:40:01.969279+11:00,SA
R Murray DS Lock 5 (DEW),2.05am Fri,16.22,steady,,below minor,Plot | Table,2022-10-14 03:40:01.969279+11:00,SA
R Murray at Lyrup Pump Stn (DEW),2.00am Fri,14.86,steady,,below minor,Plot | Table,2022-10-14 03:40:01.969279+11:00,SA
R Murray at Berri Pump Stn (DEW),2.05am Fri,14.40,steady,,below minor,Plot | Table,2022-10-14 03:40:01.969279+11:00,SA
R Murray US Lock 4 (DEW),2.05am Fri,14.01,rising,,below minor,Plot | Table,2022-10-14 03:40:01.969279+11:00,SA
R Murray DS Lock 4 (DEW),2.05am Fri,13.97,steady,,below minor,Plot | Table,2022-10-14 03:40:01.969279+11:00,SA
R Murray at Loxton Pump Stn (DEW),12.00am Fri,12.69,steady,,below minor,Plot | Table,2022-10-14 03:40:01.969279+11:00,SA
R Murray US Lock 3 (DEW),2.05am Fri,9.82,steady,,below minor,Plot | Table,2022-10-14 03:40:01.969279+11:00,SA
R Murray DS Lock 3 (DEW),2.05am Fri,9.68,steady,,below minor,Plot | Table,2022-10-14 03:40:01.969279+11:00,SA
R Murray US Overland Corner (DEW),2.05am Fri,9.09,steady,,below minor,Plot | Table,2022-10-14 03:40:01.969279+11:00,SA
R Murray US Lock 2 (DEW),2.10am Fri,6.94,steady,,below minor,Plot | Table,2022-10-14 03:40:01.969279+11:00,SA
R Murray DS Lock 2 (DEW),2.10am Fri,6.91,steady,,below minor,Plot | Table,2022-10-14 03:40:01.969279+11:00,SA
R Murray US Lock 1 (DEW),2.00am Fri,3.29,steady,,below minor,Plot | Table,2022-10-14 03:40:01.969279+11:00,SA
R Murray DS Lock 1 (DEW),2.05am Fri,3.31,steady,,below minor,Plot | Table,2022-10-14 03:40:01.969279+11:00,SA
R Murray at Swan Reach 3km DS Ferry,2.10am Fri,2.11,steady,,below minor,Plot | Table,2022-10-14 03:40:01.969279+11:00,SA
Marne River at Marne Gorge (DEW),12.55am Fri,1.12,steady,0.12 above weir,,Plot | Table,2022-10-14 03:40:01.969279+11:00,SA
R Murray at Walker Flat (DEW),2.05am Fri,1.40,steady,,below minor,Plot | Table,2022-10-14 03:40:01.969279+11:00,SA
R Murray at Mannum Wharf (DEW),2.05am Fri,0.96,steady,,below minor,Plot | Table,2022-10-14 03:40:01.969279+11:00,SA
R Murray at Murray Bridge/Long Is.,2.05am Fri,0.81,steady,,below minor,Plot | Table,2022-10-14 03:40:01.969279+11:00,SA
R Murray 2km DS Wellington ferry,2.10am Fri,0.83,steady,,below minor,Plot | Table,2022-10-14 03:40:01.969279+11:00,SA
L Alexandrina at Milang Jetty (DEW),2.05am Fri,0.62,steady,,below minor,Plot | Table,2022-10-14 03:40:01.969279+11:00,SA
Lake Albert at Meningie Jetty (DEW),2.05am Fri,0.80,rising,,below minor,Plot | Table,2022-10-14 03:40:01.969279+11:00,SA
Goolwa Channel 2km West of Clayton,2.05am Fri,0.61,steady,,below minor,Plot | Table,2022-10-14 03:40:01.969279+11:00,SA
Goolwa Channel DS Hindmarsh Bridge,2.05am Fri,0.55,steady,3.45 below approaches,below minor,Plot | Table,2022-10-14 03:40:01.969279+11:00,SA
US Goolwa Barrage (DEW),2.05am Fri,0.55,steady,,below minor,Plot | Table,2022-10-14 03:40:01.969279+11:00,SA
DS Goolwa Barrage (DEW),2.05am Fri,0.97,rising,,below minor,Plot | Table,2022-10-14 03:40:01.969279+11:00,SA
Tauwitchere Barrage (DEW),2.05am Fri,0.65,steady,,below minor,Plot | Table,2022-10-14 03:40:01.969279+11:00,SA
