Station Name,Time/Day,Height,Tendency,Crossing,Flood Class,Recent Data,Scraped,State
Murray,Murray,Murray,Murray,Murray,Murray,Murray,2022-10-14 14:40:01.656125+11:00,SA
R Murray at Wentworth (Lock 10),2.00pm Fri,31.82,steady,,below minor,Plot | Table,2022-10-14 14:40:01.656125+11:00,SA
R Murray US Lock 9 (DEW),1.00pm Fri,28.32,rising,,,Plot | Table,2022-10-14 14:40:01.656125+11:00,SA
R Murray DS Lock 9 (DEW),1.00pm Fri,28.32,steady,,,Plot | Table,2022-10-14 14:40:01.656125+11:00,SA
R Murray US Lock 8 (DEW),1.05pm Fri,26.41,steady,,,Plot | Table,2022-10-14 14:40:01.656125+11:00,SA
R Murray DS Lock 8 (DEW),1.05pm Fri,26.38,steady,,,Plot | Table,2022-10-14 14:40:01.656125+11:00,SA
Lake Victoria (DEW),1.05pm Fri,26.16,steady,,,Plot | Table,2022-10-14 14:40:01.656125+11:00,SA
R Murray US Lock 7 (DEW),1.00pm Fri,24.67,steady,,,Plot | Table,2022-10-14 14:40:01.656125+11:00,SA
R Murray DS Rufus River (DEW),2.00pm Fri,7.71,steady,,,Plot | Table,2022-10-14 14:40:01.656125+11:00,SA
R Murray US Lock 6 (DEW),1.00pm Fri,19.69,steady,,below minor,Plot | Table,2022-10-14 14:40:01.656125+11:00,SA
R Murray DS Lock 6 (DEW),1.00pm Fri,19.61,steady,,below minor,Plot | Table,2022-10-14 14:40:01.656125+11:00,SA
Chowilla DS Monoman Ck (DEW),1.00pm Fri,19.21,steady,,,Plot | Table,2022-10-14 14:40:01.656125+11:00,SA
R Murray US Lock 5 (DEW),1.00pm Fri,16.32,rising,,below minor,Plot | Table,2022-10-14 14:40:01.656125+11:00,SA
R Murray DS Lock 5 (DEW),1.00pm Fri,16.23,steady,,below minor,Plot | Table,2022-10-14 14:40:01.656125+11:00,SA
R Murray at Lyrup Pump Stn (DEW),1.00pm Fri,14.88,steady,,below minor,Plot | Table,2022-10-14 14:40:01.656125+11:00,SA
R Murray at Berri Pump Stn (DEW),1.00pm Fri,14.41,steady,,below minor,Plot | Table,2022-10-14 14:40:01.656125+11:00,SA
R Murray US Lock 4 (DEW),1.00pm Fri,14.04,rising,,below minor,Plot | Table,2022-10-14 14:40:01.656125+11:00,SA
R Murray DS Lock 4 (DEW),1.00pm Fri,13.98,steady,,below minor,Plot | Table,2022-10-14 14:40:01.656125+11:00,SA
R Murray at Loxton Pump Stn (DEW),12.00pm Fri,12.71,steady,,below minor,Plot | Table,2022-10-14 14:40:01.656125+11:00,SA
R Murray US Lock 3 (DEW),1.00pm Fri,9.83,steady,,below minor,Plot | Table,2022-10-14 14:40:01.656125+11:00,SA
R Murray DS Lock 3 (DEW),1.00pm Fri,9.70,steady,,below minor,Plot | Table,2022-10-14 14:40:01.656125+11:00,SA
R Murray US Overland Corner (DEW),1.00pm Fri,9.10,steady,,below minor,Plot | Table,2022-10-14 14:40:01.656125+11:00,SA
R Murray US Lock 2 (DEW),1.05pm Fri,6.94,falling,,below minor,Plot | Table,2022-10-14 14:40:01.656125+11:00,SA
R Murray DS Lock 2 (DEW),1.05pm Fri,6.90,steady,,below minor,Plot | Table,2022-10-14 14:40:01.656125+11:00,SA
R Murray US Lock 1 (DEW),1.00pm Fri,3.28,steady,,below minor,Plot | Table,2022-10-14 14:40:01.656125+11:00,SA
R Murray DS Lock 1 (DEW),1.00pm Fri,3.31,steady,,below minor,Plot | Table,2022-10-14 14:40:01.656125+11:00,SA
R Murray at Swan Reach 3km DS Ferry,1.05pm Fri,2.12,steady,,below minor,Plot | Table,2022-10-14 14:40:01.656125+11:00,SA
Marne River at Marne Gorge (DEW),11.55am Fri,1.12,steady,0.12 above weir,,Plot | Table,2022-10-14 14:40:01.656125+11:00,SA
R Murray at Walker Flat (DEW),1.05pm Fri,1.45,steady,,below minor,Plot | Table,2022-10-14 14:40:01.656125+11:00,SA
R Murray at Mannum Wharf (DEW),1.05pm Fri,1.04,steady,,below minor,Plot | Table,2022-10-14 14:40:01.656125+11:00,SA
R Murray at Murray Bridge/Long Is.,1.05pm Fri,0.91,steady,,below minor,Plot | Table,2022-10-14 14:40:01.656125+11:00,SA
R Murray 2km DS Wellington ferry,1.05pm Fri,0.81,steady,,below minor,Plot | Table,2022-10-14 14:40:01.656125+11:00,SA
L Alexandrina at Milang Jetty (DEW),1.00pm Fri,0.72,steady,,below minor,Plot | Table,2022-10-14 14:40:01.656125+11:00,SA
Lake Albert at Meningie Jetty (DEW),1.00pm Fri,0.76,falling,,below minor,Plot | Table,2022-10-14 14:40:01.656125+11:00,SA
Goolwa Channel 2km West of Clayton,1.05pm Fri,0.60,steady,,below minor,Plot | Table,2022-10-14 14:40:01.656125+11:00,SA
Goolwa Channel DS Hindmarsh Bridge,1.05pm Fri,0.53,steady,3.47 below approaches,below minor,Plot | Table,2022-10-14 14:40:01.656125+11:00,SA
US Goolwa Barrage (DEW),1.00pm Fri,0.52,steady,,below minor,Plot | Table,2022-10-14 14:40:01.656125+11:00,SA
DS Goolwa Barrage (DEW),1.05pm Fri,0.55,rising,,below minor,Plot | Table,2022-10-14 14:40:01.656125+11:00,SA
Tauwitchere Barrage (DEW),1.00pm Fri,0.66,rising,,below minor,Plot | Table,2022-10-14 14:40:01.656125+11:00,SA
