Station Name,Time/Day,Height,Tendency,Flood Class,Recent Data,Scraped,State
Werribee Catchment,Werribee Catchment,Werribee Catchment,Werribee Catchment,Werribee Catchment,Werribee Catchment,2022-10-14 06:50:01.628932+11:00,VIC
Werribee R at Ballan,6.11am Fri,2.63,falling,moderate,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Werribee R at Bacchus Marsh,6.11am Fri,2.59,falling,below minor,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Parwan Ck at Parwan,4.10am Fri,-0.35,rising,,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Lerderderg R at Sardine Ck,6.00am Fri,2.02,falling,below minor,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Lerderderg R at U/S Goodman Ck,6.13am Fri,1.88,steady,below minor,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Werribee R at Melton Res D/S,6.00am Fri,4.27^,falling,minor,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Toolern Ck at Melton South,6.14am Fri,1.11,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Werribee R at Werribee Cottrell St,6.12am Fri,3.70,rising,minor,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Maribyrnong Catchment,Maribyrnong Catchment,Maribyrnong Catchment,Maribyrnong Catchment,Maribyrnong Catchment,Maribyrnong Catchment,2022-10-14 06:50:01.628932+11:00,VIC
Deep Ck at Lancefield,5.34am Fri,3.43,falling,,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Deep Ck at Bulla,10.02am Thu,1.38,,,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Jacksons Ck at Sunbury,6.40am Thu,2.14,,,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Maribyrnong R at Keilor,5.36am Fri,8.20,,major,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Maribyrnong R at Maribyrnong,4.13am Fri,1.54,,below minor,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Stony Ck at Spotswood,5.17am Fri,1.06,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Yarra Catchment,Yarra Catchment,Yarra Catchment,Yarra Catchment,Yarra Catchment,Yarra Catchment,2022-10-14 06:50:01.628932+11:00,VIC
Yarra R at Millgrove,6.10am Fri,1.78,steady,below minor,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Little Yarra R at Yarra Junction,6.04am Fri,1.48,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Woori Yallock Ck at Woori Yallock,2.34am Fri,2.52,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Yarra R at Yarra Glen,5.59am Fri,4.70,steady,moderate,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Olinda Ck at Mt Evelyn,6.01am Fri,2.01,falling,,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Olinda Ck at Lilydale,6.00am Fri,6.28,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Brushy Ck at Mooroolbark,5.55am Fri,1.87,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Yarra R at Warrandyte,4.30am Fri,2.81,falling,below minor,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Mullum Mullum Ck at Doncaster East,6.02am Fri,1.01,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Arthurs Ck at Nutfield,2.06am Fri,4.93,,,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Diamond Ck at Eltham,5.56am Fri,5.96,,below minor,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Yarra R at Fitzimons Lane,4.48am Fri,4.24,,minor,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Plenty R at Mernda,11.44am Thu,0.91,,,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Plenty R at Greensborough,3.30am Fri,2.54,,,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Plenty River at Lower Plenty,5.50am Fri,3.08,,below minor,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Koonung Ck at Bulleen,5.57am Fri,2.01,rising,,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Darebin Ck at Bundoora,5.50am Fri,8.94,falling,,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Darebin Ck at Bell St Ivanhoe,5.58am Fri,1.72,rising,,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Merri Ck at Craigeburn,5.36am Thu,0.50,,,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Merri Ck at Cooper St,5.19am Fri,3.23,,,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Merlynston Ck at Fawkner Cemetry,5.14am Fri,1.89,rising,,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Moonee Ponds Ck at Jacana,4.21am Fri,6.07,,,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Merri Ck at Bell St,6.11am Fri,3.52,falling,moderate,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Merri Ck at St Georges Rd,6.09am Fri,3.97,falling,moderate,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Yarra R at Johnston St,5.58am Fri,4.91,rising,minor,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Gardiners Ck at Kinkora Rd,6.13am Fri,0.98,steady,,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
Eley Rd East Drain at Eley Rd,6.10am Fri,0.88,falling,,Plot | Table,2022-10-14 06:50:01.628932+11:00,VIC
